activity_code,main_asset_category,main_asset_subcategory,main_asset_unit_type,main_asset_unit_count,asset_type,asset_category,asset_subcategory,asset_coverage_code,asset_name,asset_unit_type,asset_unit_count,asset_unit_cost,asset_parameter_type,asset_details_raw,asset_loc_code,asset_loc_unit_code,asset_loc_unit_type,asset_loc_unit_count,asset_loc_unit_cost_total,asset_loc_overflow_json
44434680,,1235.0,2.0,1.0,,,,,,,,,,,,,,,,
44434714,,1235.0,2.0,1.0,,,,,,,,,,,,,,,,
50378089,,1062.0,2.0,1.0,,,,,,,,,,,,,,,,
50385378,,1279.0,2.0,1.0,,,,,,,,,,,,,,,,
50386322,,1290.0,2.0,1.0,,,,,,,,,,,,,,,,
50509169,,11.0,2.0,1.0,,,,,,,,,,,,,,,,
50518845,,11.0,2.0,1.0,,,,,,,,,,,,,,,,
50518944,,452.0,2.0,1.0,,,,,,,,,,,,,,,,
50384996,77.0,1076.0,2.0,1.0,2.0,77.0,1076.0,A,,2.0,1.0,,,,380882.0,,,1.0,,
44434227,77.0,59.0,2.0,1.0,2.0,77.0,59.0,A,,2.0,1.0,,,,380882.0,,,1.0,,
44434249,77.0,59.0,2.0,1.0,2.0,77.0,59.0,A,,2.0,1.0,,,,380882.0,,,1.0,,
44434288,77.0,59.0,2.0,1.0,2.0,77.0,59.0,A,,2.0,1.0,,,,380882.0,,,1.0,,
44434332,,,,,,,,,,,,,,,,,,,,
44434352,,,,,,,,,,,,,,,,,,,,
44434533,10.0,1235.0,2.0,1.0,2.0,10.0,1235.0,A,,2.0,1.0,180000.0,,,380882.0,,,1.0,,
44434659,10.0,1235.0,2.0,1.0,2.0,10.0,1235.0,A,,2.0,1.0,,,,380882.0,,,1.0,,
44434698,10.0,10.0,2.0,10.0,2.0,10.0,10.0,A,,2.0,10.0,,,,380882.0,,,10.0,,
44434871,60.0,1275.0,2.0,1.0,2.0,60.0,1275.0,A,,2.0,1.0,,,,380882.0,,,1.0,,
44434893,,,,,,,,,,,,,,,,,,,,
50378563,,,,,2.0,15.0,458.0,A,,4.0,60.0,200000.0,358.0,,380882.0,,,1.0,,
50378946,,,,,2.0,15.0,458.0,A,,4.0,45.0,150000.0,358.0,,380882.0,,,1.0,,
50379473,77.0,1076.0,2.0,1.0,2.0,77.0,1076.0,A,,2.0,1.0,,,,380882.0,,,1.0,,
50379756,77.0,1076.0,2.0,1.0,2.0,77.0,1076.0,A,,2.0,1.0,,,,380882.0,,,1.0,,
50380045,77.0,1076.0,2.0,1.0,2.0,77.0,1076.0,A,,2.0,1.0,,,,380882.0,,,1.0,,
50380394,77.0,1076.0,2.0,2.0,2.0,77.0,1076.0,A,,2.0,2.0,,,,380882.0,,,2.0,,
50380631,77.0,1076.0,2.0,1.0,2.0,77.0,1076.0,A,,2.0,1.0,,,,380882.0,,,1.0,,
50380926,77.0,1076.0,2.0,1.0,2.0,77.0,1076.0,A,,2.0,1.0,,,,380882.0,,,1.0,,
50385180,77.0,1076.0,2.0,1.0,2.0,77.0,1076.0,A,,2.0,1.0,,,,380882.0,,,1.0,,
50385618,451.0,1281.0,2.0,1.0,2.0,451.0,1281.0,A,,2.0,1.0,12000.0,,,380882.0,,,1.0,,
50386093,451.0,1281.0,2.0,1.0,2.0,451.0,1281.0,A,,2.0,1.0,12000.0,,,380882.0,,,1.0,,
50386577,451.0,1287.0,2.0,1.0,1.0,455.0,1287.0,A,,2.0,1.0,,,,380882.0,,,1.0,,
50386819,63.0,62.0,4.0,1.0,2.0,63.0,62.0,A,,4.0,1.0,,,,380882.0,,,1.0,,
44434317,104.0,53.0,2.0,1.0,,,,,,,,,,,,,,,,
44434761,10.0,1235.0,2.0,1.0,,,,,,,,,,,,,,,,
44434774,63.0,62.0,4.0,45.0,,,,,,,,,,,,,,,,
44434793,63.0,1083.0,2.0,10.0,,,,,,,,,,,,,,,,
44434810,63.0,62.0,4.0,45.0,,,,,,,,,,,,,,,,
44434838,77.0,1051.0,2.0,1.0,,,,,,,,,,,,,,,,
48702295,63.0,62.0,4.0,1.0,2.0,63.0,62.0,A,,4.0,1.0,,,,380882.0,,,1.0,,
48702608,63.0,62.0,4.0,1.0,2.0,63.0,62.0,A,,4.0,1.0,,,,380882.0,,,1.0,,
48945030,454.0,1300.0,2.0,1.0,2.0,454.0,1300.0,A,,2.0,1.0,32918.0,,,380882.0,,,1.0,,
48945227,,,,,2.0,10.0,452.0,A,,2.0,1.0,482917.0,352.0,,380882.0,,,1.0,,
48945351,97.0,1062.0,2.0,1.0,2.0,97.0,1062.0,A,,2.0,1.0,,,,380882.0,,,1.0,,
48945423,97.0,1062.0,2.0,1.0,2.0,97.0,1062.0,A,,2.0,1.0,,,,380882.0,,,1.0,,
48945521,,,,,2.0,15.0,458.0,A,,4.0,100.0,335835.0,358.0,,380882.0,,,1.0,,
48945604,,,,,2.0,15.0,458.0,A,,4.0,100.0,330000.0,358.0,,380882.0,,,1.0,,
48945928,,,,,,,,,,,,,,,,,,,,
48946946,,,,,,,,,,,,,,,,,,,,
48947039,,,,,,,,,,,,,,,,,,,,
48947102,10.0,452.0,2.0,1.0,2.0,10.0,452.0,A,,2.0,1.0,,,,380882.0,,,1.0,,
48947241,10.0,1156.0,4.0,30.0,2.0,10.0,1156.0,A,,4.0,30.0,3333.0,,,380882.0,,,1.0,,
48947511,77.0,1227.0,2.0,1.0,2.0,77.0,1227.0,A,,2.0,1.0,117083.0,,,380882.0,,,1.0,,
65640900,60.0,1208.0,2.0,20.0,,,,,,,,,,,,,,,,
65647782,451.0,1286.0,2.0,1.0,,,,,,,,,,,,,,,,
65647815,,63.0,2.0,1.0,,,,,,,,,,,,,,,,
65647846,451.0,1287.0,2.0,1.0,,,,,,,,,,,,,,,,
65647886,,1263.0,2.0,1.0,,,,,,,,,,,,,,,,
65647910,451.0,1287.0,2.0,1.0,,,,,,,,,,,,,,,,
61656325,29.0,1279.0,2.0,1.0,2.0,454.0,1300.0,A,,2.0,1.0,100000.0,,,380882.0,,,1.0,,
61688546,10.0,11.0,2.0,1.0,2.0,10.0,11.0,A,,2.0,1.0,,,,380882.0,,,1.0,,
65640607,15.0,458.0,4.0,100.0,2.0,15.0,458.0,A,,4.0,100.0,2000.0,,,380882.0,,,1.0,,
65640647,97.0,55.0,4.0,1.0,2.0,97.0,55.0,A,,4.0,1.0,2000.0,,,380882.0,,,1.0,,
65640676,77.0,1076.0,2.0,1.0,2.0,77.0,1076.0,A,,2.0,1.0,39373.0,,,380882.0,,,1.0,,
65640722,60.0,1275.0,2.0,1.0,2.0,60.0,1275.0,A,,2.0,1.0,125000.0,,,380882.0,,,1.0,,
65640793,77.0,59.0,2.0,1.0,2.0,77.0,59.0,A,,2.0,1.0,400000.0,,,380882.0,,,1.0,,
65640848,63.0,1253.0,2.0,1.0,2.0,63.0,1253.0,A,,2.0,1.0,100000.0,,,380882.0,,,1.0,,
65647203,462.0,1375.0,2.0,4.0,2.0,462.0,1375.0,A,,2.0,4.0,32186.0,,,380882.0,,,4.0,,
65647221,462.0,1346.0,2.0,1.0,2.0,462.0,1346.0,A,,2.0,1.0,80000.0,,,380882.0,,,1.0,,
65647242,462.0,1345.0,2.0,2.0,2.0,462.0,1345.0,A,,2.0,2.0,,,,380882.0,,,2.0,,
65647344,454.0,1300.0,2.0,1.0,2.0,454.0,1300.0,A,,2.0,1.0,50000.0,,,380882.0,,,1.0,,
65647385,451.0,1376.0,2.0,1.0,2.0,451.0,1376.0,A,,2.0,1.0,107000.0,,,380882.0,,,1.0,,
65647681,454.0,1301.0,2.0,1.0,2.0,454.0,1301.0,A,,2.0,1.0,114594.0,,,380882.0,,,1.0,,
65647752,,,,,,,,,,,,,,,,,,,,
61654298,10.0,1156.0,4.0,200.0,,,,,,,,,,,,,,,,
61654557,10.0,452.0,2.0,1.0,,,,,,,,,,,,,,,,
61654669,106.0,1251.0,2.0,1.0,,,,,,,,,,,,,,,,
61654792,106.0,1251.0,2.0,1.0,,,,,,,,,,,,,,,,
61655118,77.0,1076.0,2.0,1.0,,,,,,,,,,,,,,,,
61655334,,,,,,,,,,,,,,,,,,,,
61655498,106.0,1252.0,2.0,1.0,,,,,,,,,,,,,,,,
61655596,106.0,1252.0,2.0,1.0,,,,,,,,,,,,,,,,
61655695,106.0,1251.0,2.0,1.0,,,,,,,,,,,,,,,,
61655898,60.0,1208.0,2.0,1.0,,,,,,,,,,,,,,,,
61655986,63.0,62.0,4.0,30.0,,,,,,,,,,,,,,,,
61656092,63.0,62.0,4.0,100.0,,,,,,,,,,,,,,,,
61656211,456.0,1307.0,2.0,4.0,,,,,,,,,,,,,,,,
61688040,10.0,1156.0,4.0,30.0,,,,,,,,,,,,,,,,
61688279,,,,,2.0,10.0,2.0,A,,2.0,2.0,220000.0,2.0,,380882.0,,,2.0,,
61688421,10.0,10.0,2.0,4.0,,,,,,,,,,,,,,,,
76539130,,,,,,,,,,,,,,,,,,,,
76542190,,,,,,,,,,,,,,,,,,,,
76548470,,,,,,,,,,,,,,,,,,,,
76550258,,,,,,,,,,,,,,,,,,,,
76551891,,,,,,,,,,,,,,,,,,,,
76554062,,,,,,,,,,,,,,,,,,,,
76555011,,,,,,,,,,,,,,,,,,,,
76557886,,,,,,,,,,,,,,,,,,,,
76561252,,,,,,,,,,,,,,,,,,,,
76562522,,,,,,,,,,,,,,,,,,,,
76565463,,,,,,,,,,,,,,,,,,,,
76567063,,,,,,,,,,,,,,,,,,,,
76571285,,,,,,,,,,,,,,,,,,,,
76574548,,,,,,,,,,,,,,,,,,,,
76576762,,,,,,,,,,,,,,,,,,,,
76577989,,,,,,,,,,,,,,,,,,,,
76580508,,,,,,,,,,,,,,,,,,,,
76584143,,,,,,,,,,,,,,,,,,,,
76586385,,,,,,,,,,,,,,,,,,,,
76588405,,,,,,,,,,,,,,,,,,,,
76589351,,,,,,,,,,,,,,,,,,,,
77018625,,,,,,,,,,,,,,,,,,,,
77021336,,,,,,,,,,,,,,,,,,,,
77022717,,,,,,,,,,,,,,,,,,,,
77222350,,,,,,,,,,,,,,,,,,,,
77222608,,,,,,,,,,,,,,,,,,,,
77222875,,,,,,,,,,,,,,,,,,,,
77223125,,,,,,,,,,,,,,,,,,,,
77223383,,,,,,,,,,,,,,,,,,,,
77223574,,,,,,,,,,,,,,,,,,,,
77223791,,,,,,,,,,,,,,,,,,,,
77224006,,,,,,,,,,,,,,,,,,,,
77224210,,,,,,,,,,,,,,,,,,,,
77224356,,,,,,,,,,,,,,,,,,,,
77224535,,,,,,,,,,,,,,,,,,,,
77224699,,,,,,,,,,,,,,,,,,,,
77224867,,,,,,,,,,,,,,,,,,,,
77225186,,,,,,,,,,,,,,,,,,,,
77225410,,,,,,,,,,,,,,,,,,,,
77225635,,,,,,,,,,,,,,,,,,,,
77225857,,,,,,,,,,,,,,,,,,,,
77226115,,,,,,,,,,,,,,,,,,,,
77226501,,,,,,,,,,,,,,,,,,,,
77226704,,,,,,,,,,,,,,,,,,,,
77226937,,,,,,,,,,,,,,,,,,,,
77227161,,,,,,,,,,,,,,,,,,,,
77227462,,,,,,,,,,,,,,,,,,,,
77227817,,,,,,,,,,,,,,,,,,,,
77228026,,,,,,,,,,,,,,,,,,,,
77285748,,,,,,,,,,,,,,,,,,,,
77286839,,,,,,,,,,,,,,,,,,,,
77287395,,,,,,,,,,,,,,,,,,,,
77288249,,,,,,,,,,,,,,,,,,,,
77290116,,,,,,,,,,,,,,,,,,,,
77291194,,,,,,,,,,,,,,,,,,,,
77294180,,,,,,,,,,,,,,,,,,,,
77296197,,,,,,,,,,,,,,,,,,,,
77297658,,,,,,,,,,,,,,,,,,,,
77298704,,,,,,,,,,,,,,,,,,,,
77300044,,,,,,,,,,,,,,,,,,,,
77572957,,,,,,,,,,,,,,,,,,,,
77573393,,,,,,,,,,,,,,,,,,,,
77574093,,,,,,,,,,,,,,,,,,,,
77574393,,,,,,,,,,,,,,,,,,,,
77575302,,,,,,,,,,,,,,,,,,,,
77575533,,,,,,,,,,,,,,,,,,,,
77575718,,,,,,,,,,,,,,,,,,,,
77575994,,,,,,,,,,,,,,,,,,,,
77576148,,,,,,,,,,,,,,,,,,,,
77576384,,,,,,,,,,,,,,,,,,,,
77576594,,,,,,,,,,,,,,,,,,,,
77576765,,,,,,,,,,,,,,,,,,,,
77576947,,,,,,,,,,,,,,,,,,,,
77577772,,,,,,,,,,,,,,,,,,,,
77578031,,,,,,,,,,,,,,,,,,,,
77578862,,,,,,,,,,,,,,,,,,,,
77581288,,,,,,,,,,,,,,,,,,,,
78483302,,,,,,,,,,,,,,,,,,,,
78483678,,,,,,,,,,,,,,,,,,,,
78484531,,,,,,,,,,,,,,,,,,,,
78484900,,,,,,,,,,,,,,,,,,,,
78485217,,,,,,,,,,,,,,,,,,,,
78486028,,,,,,,,,,,,,,,,,,,,
78486703,,,,,,,,,,,,,,,,,,,,
78487136,,,,,,,,,,,,,,,,,,,,
78487683,,,,,,,,,,,,,,,,,,,,
78488329,,,,,,,,,,,,,,,,,,,,
78488734,,,,,,,,,,,,,,,,,,,,
78489048,,,,,,,,,,,,,,,,,,,,
78489349,,,,,,,,,,,,,,,,,,,,
78489962,,,,,,,,,,,,,,,,,,,,
78490332,,,,,,,,,,,,,,,,,,,,
78490914,,,,,,,,,,,,,,,,,,,,
78491379,,,,,,,,,,,,,,,,,,,,
78491636,,,,,,,,,,,,,,,,,,,,
78491930,,,,,,,,,,,,,,,,,,,,
78492222,,,,,,,,,,,,,,,,,,,,
79107803,,,,,,,,,,,,,,,,,,,,
79108625,,,,,,,,,,,,,,,,,,,,
79109324,,,,,,,,,,,,,,,,,,,,
79109779,,,,,,,,,,,,,,,,,,,,
79110162,,,,,,,,,,,,,,,,,,,,
79111411,,,,,,,,,,,,,,,,,,,,
79112158,,,,,,,,,,,,,,,,,,,,
79112732,,,,,,,,,,,,,,,,,,,,
79113767,,,,,,,,,,,,,,,,,,,,
79115307,,,,,,,,,,,,,,,,,,,,
79115979,,,,,,,,,,,,,,,,,,,,
79116494,,,,,,,,,,,,,,,,,,,,
79116825,,,,,,,,,,,,,,,,,,,,
79117239,,,,,,,,,,,,,,,,,,,,
79117799,,,,,,,,,,,,,,,,,,,,
79118322,,,,,,,,,,,,,,,,,,,,
79119341,,,,,,,,,,,,,,,,,,,,
79120344,,,,,,,,,,,,,,,,,,,,
79120770,,,,,,,,,,,,,,,,,,,,
79122176,,,,,,,,,,,,,,,,,,,,
79122770,,,,,,,,,,,,,,,,,,,,
79123435,,,,,,,,,,,,,,,,,,,,
79123919,,,,,,,,,,,,,,,,,,,,
79132821,,,,,,,,,,,,,,,,,,,,
79133246,,,,,,,,,,,,,,,,,,,,
79134272,,,,,,,,,,,,,,,,,,,,
79135404,,,,,,,,,,,,,,,,,,,,
79136040,,,,,,,,,,,,,,,,,,,,
79136675,,,,,,,,,,,,,,,,,,,,
79137185,,,,,,,,,,,,,,,,,,,,
79137833,,,,,,,,,,,,,,,,,,,,
79138279,,,,,,,,,,,,,,,,,,,,
79139486,,,,,,,,,,,,,,,,,,,,
79140259,,,,,,,,,,,,,,,,,,,,
79141676,,,,,,,,,,,,,,,,,,,,
79142084,,,,,,,,,,,,,,,,,,,,
79142524,,,,,,,,,,,,,,,,,,,,
79142876,,,,,,,,,,,,,,,,,,,,
79144076,,,,,,,,,,,,,,,,,,,,
79144423,,,,,,,,,,,,,,,,,,,,
79144908,,,,,,,,,,,,,,,,,,,,
79145679,,,,,,,,,,,,,,,,,,,,
79145930,,,,,,,,,,,,,,,,,,,,
79146194,,,,,,,,,,,,,,,,,,,,
79146537,,,,,,,,,,,,,,,,,,,,
79146926,,,,,,,,,,,,,,,,,,,,
81807728,,,,,,,,,,,,,,,,,,,,
81810184,,,,,,,,,,,,,,,,,,,,
81810563,,,,,,,,,,,,,,,,,,,,
81812326,,,,,2.0,10.0,13.0,A,,2.0,1.0,10000.0,650.0,,380882.0,,,1.0,,
81928022,,,,,1.0,455.0,1286.0,A,,2.0,1.0,25000.0,733.0,,380882.0,,,1.0,,
81958083,,,,,2.0,77.0,59.0,A,,2.0,1.0,172448.0,54.0,,380882.0,,,1.0,,
82693845,,,,,2.0,457.0,1316.0,A,,2.0,1.0,73500.0,763.0,,380882.0,,,1.0,,
82721199,,,,,,,,,,,,,,,,,,,,
82726253,,,,,,,,,,,,,,,,,,,,
82730562,,,,,2.0,15.0,1205.0,A,,4.0,100.0,1000.0,508.0,,380882.0,,,1.0,,
82734648,,,,,,,,,,,,,,,,,,,,
82735058,,,,,,,,,,,,,,,,,,,,
82736399,,,,,,,,,,,,,,,,,,,,
82736902,,,,,,,,,,,,,,,,,,,,
82737293,,,,,,,,,,,,,,,,,,,,
82737645,,,,,,,,,,,,,,,,,,,,
82743049,,,,,,,,,,,,,,,,,,,,
82743855,,,,,,,,,,,,,,,,,,,,
82746861,,,,,,,,,,,,,,,,,,,,
82747104,,,,,,,,,,,,,,,,,,,,
82747601,,,,,,,,,,,,,,,,,,,,
82748084,,,,,,,,,,,,,,,,,,,,
82748924,,,,,,,,,,,,,,,,,,,,
82749303,,,,,,,,,,,,,,,,,,,,
82756563,,,,,2.0,454.0,1300.0,A,,2.0,1.0,5336.0,747.0,,380882.0,,,1.0,,
82759348,,,,,2.0,462.0,1356.0,A,,2.0,1.0,24000.0,803.0,,380882.0,,,1.0,,
82761428,,,,,2.0,6.0,3.0,A,,2.0,1.0,12238.0,3.0,,380882.0,,,1.0,,
82762410,,,,,2.0,4.0,64.0,A,,2.0,1.0,400000.0,58.0,,380882.0,,,1.0,,
82762912,,,,,,,,,,,,,,,,,,,,
82844937,,,,,2.0,462.0,1356.0,A,,2.0,1.0,100000.0,803.0,,380882.0,,,1.0,,
82845314,,,,,,,,,,,,,,,,,,,,
82845756,,,,,2.0,4.0,1026.0,A,,4.0,1.0,100000.0,80.0,,380882.0,,,1.0,,
82846120,,,,,2.0,103.0,1259.0,A,,2.0,1.0,100000.0,706.0,,380882.0,,,1.0,,
82846674,,,,,2.0,97.0,55.0,A,,4.0,1.0,100000.0,64.0,,380882.0,,,1.0,,
82847128,,,,,2.0,77.0,1217.0,A,,2.0,1.0,100000.0,663.0,,380882.0,,,1.0,,
82847548,,,,,2.0,462.0,1375.0,A,,2.0,1.0,100000.0,791.0,,380882.0,,,1.0,,
82848050,,,,,2.0,77.0,1217.0,A,,2.0,1.0,100000.0,663.0,,380882.0,,,1.0,,
82848492,,,,,2.0,4.0,1026.0,A,,4.0,1.0,100000.0,80.0,,380882.0,,,1.0,,
82849013,,,,,2.0,465.0,1370.0,A,,2.0,1.0,100000.0,817.0,,380882.0,,,1.0,,
82849591,,,,,2.0,10.0,26.0,A,,2.0,1.0,100000.0,23.0,,380882.0,,,1.0,,
82850100,,,,,2.0,462.0,1353.0,A,,2.0,1.0,100000.0,800.0,,380882.0,,,1.0,,
82854313,,,,,2.0,97.0,1057.0,A,,2.0,1.0,100000.0,101.0,,380882.0,,,1.0,,
82855060,,,,,2.0,462.0,1348.0,A,,2.0,1.0,100000.0,795.0,,380882.0,,,1.0,,
82856129,,,,,2.0,77.0,1380.0,A,,2.0,1.0,100000.0,826.0,,380882.0,,,1.0,,
82856804,,,,,2.0,103.0,1242.0,A,,2.0,1.0,100000.0,688.0,,380882.0,,,1.0,,
82858974,,,,,,,,,,,,,,,,,,,,
