activity_code,community_service_raw,community_service_code,community_service_duration,community_beneficiaries_expected
44434680,,,,
44434714,,,,
50378089,,,,
50385378,,,,
50386322,,,,
50509169,,,,
50518845,,,,
50518944,,,,
50384996,,,,
44434227,,,,
44434249,,,,
44434288,,,,
44434332,,,,
44434352,,,,
44434533,,,,
44434659,,,,
44434698,,,,
44434871,,,,
44434893,,,,
50378563,,,,
50378946,,,,
50379473,,,,
50379756,,,,
50380045,,,,
50380394,,,,
50380631,,,,
50380926,,,,
50385180,,,,
50385618,,,,
50386093,,,,
50386577,,,,
50386819,,,,
44434317,,,,
44434761,,,,
44434774,,,,
44434793,,,,
44434810,,,,
44434838,,,,
48702295,,,,
48702608,,,,
48945030,,,,
48945227,,,,
48945351,,,,
48945423,,,,
48945521,,,,
48945604,,,,
48945928,,,,
48946946,,,,
48947039,,,,
48947102,,,,
48947241,,,,
48947511,,,,
65640900,,,,
65647782,,,,
65647815,,,,
65647846,,,,
65647886,,,,
65647910,,,,
61656325,,,,
61688546,,,,
65640607,,,,
65640647,,,,
65640676,,,,
65640722,,,,
65640793,,,,
65640848,,,,
65647203,,,,
65647221,,,,
65647242,,,,
65647344,,,,
65647385,,,,
65647681,,,,
65647752,,,,
61654298,,,,
61654557,,,,
61654669,,,,
61654792,,,,
61655118,,,,
61655334,,,,
61655498,,,,
61655596,,,,
61655695,,,,
61655898,,,,
61655986,,,,
61656092,,,,
61656211,,,,
61688040,,,,
61688279,,,,
61688421,,,,
76539130,,,,
76542190,,,,
76548470,,,,
76550258,,,,
76551891,,,,
76554062,,,,
76555011,,,,
76557886,,,,
76561252,,,,
76562522,,,,
76565463,,,,
76567063,,,,
76571285,,,,
76574548,,,,
76576762,,,,
76577989,,,,
76580508,,,,
76584143,,,,
76586385,,,,
76588405,,,,
76589351,,,,
77018625,,,,
77021336,,,,
77022717,,,,
77222350,,,,
77222608,,,,
77222875,,,,
77223125,,,,
77223383,,,,
77223574,,,,
77223791,,,,
77224006,,,,
77224210,,,,
77224356,,,,
77224535,,,,
77224699,,,,
77224867,,,,
77225186,,,,
