activity_code,is_delegated,delegated_unit_code,delegated_unit_type,delegated_unit_level,delegated_unit_category,is_shareable,delegated_parent_unit_code
44434680,,,,,,,
44434714,,,,,,,
50378089,,,,,,,
50385378,,,,,,,
50386322,,,,,,,
50509169,,,,,,,
50518845,,,,,,,
50518944,,,,,,,
50384996,,,,,,,
44434227,,,,,,,
44434249,,,,,,,
44434288,,,,,,,
44434332,,,,,,,
44434352,,,,,,,
44434533,,,,,,,
44434659,,,,,,,
44434698,,,,,,,
44434871,,,,,,,
44434893,,,,,,,
50378563,,,,,,,
50378946,,,,,,,
50379473,,,,,,,
50379756,,,,,,,
50380045,,,,,,,
50380394,,,,,,,
50380631,,,,,,,
50380926,,,,,,,
50385180,,,,,,,
50385618,,,,,,,
50386093,,,,,,,
50386577,,,,,,,
50386819,,,,,,,
44434317,,,,,,,
44434761,,,,,,,
44434774,,,,,,,
44434793,,,,,,,
44434810,,,,,,,
44434838,,,,,,,
48702295,,,,,,,
48702608,,,,,,,
48945030,,,,,,,
48945227,,,,,,,
48945351,,,,,,,
48945423,,,,,,,
48945521,,,,,,,
48945604,,,,,,,
48945928,,,,,,,
48946946,,,,,,,
48947039,,,,,,,
48947102,,,,,,,
48947241,,,,,,,
48947511,,,,,,,
65640900,,,,,,False,
65647782,,,,,,False,
65647815,,,,,,False,
65647846,,,,,,False,
65647886,,,,,,False,
65647910,,,,,,False,
61656325,,,,,,,
61688546,,,,,,,
65640607,,,,,,False,
65640647,,,,,,False,
65640676,,,,,,False,
65640722,,,,,,False,
65640793,,,,,,False,
65640848,,,,,,False,
65647203,,,,,,False,
65647221,,,,,,False,
65647242,,,,,,False,
65647344,,,,,,False,
65647385,,,,,,False,
65647681,,,,,,False,
65647752,,,,,,False,
61654298,,,,,,,
61654557,,,,,,,
61654669,,,,,,,
61654792,,,,,,,
61655118,,,,,,,
61655334,,,,,,,
61655498,,,,,,,
61655596,,,,,,,
61655695,,,,,,,
61655898,,,,,,,
61655986,,,,,,,
61656092,,,,,,,
61656211,,,,,,,
61688040,,,,,,,
61688279,,,,,,,
