activity_code,fund_scheme_code,fund_component_code,fund_tied_general,fund_tied_sc,fund_tied_st,fund_untied_general,fund_untied_sc,fund_untied_st,fund_amount_total,fund_tied_abandoned_general,fund_tied_abandoned_sc,fund_tied_abandoned_st,fund_untied_abandoned_general,fund_untied_abandoned_sc,fund_untied_abandoned_st,fund_overflow_json
44434680,1769.0,4249.0,20000.0,0.0,0.0,0.0,0.0,0.0,20000.0,,,,,,,
44434714,1769.0,4249.0,100000.0,0.0,0.0,0.0,0.0,0.0,100000.0,,,,,,,
50378089,1769.0,4211.0,0.0,0.0,0.0,200000.0,0.0,0.0,200000.0,,,,,,,
50385378,1778.0,4250.0,0.0,0.0,0.0,90000.0,0.0,0.0,90000.0,,,,,,,
50386322,1778.0,4250.0,0.0,0.0,0.0,4350.0,0.0,0.0,4350.0,,,,,,,
50509169,1778.0,4250.0,0.0,0.0,0.0,128624.0,0.0,0.0,128624.0,,,,,,,
50518845,1769.0,4249.0,193154.0,0.0,0.0,0.0,0.0,0.0,193154.0,,,,,,,
50518944,1769.0,4211.0,0.0,0.0,0.0,193154.0,0.0,0.0,193154.0,,,,,,,
50384996,1778.0,4250.0,0.0,0.0,0.0,11239.0,0.0,0.0,11239.0,,,,,,,
44434227,1769.0,4211.0,0.0,0.0,0.0,150000.0,0.0,0.0,150000.0,,,,,,,
44434249,1769.0,4211.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
44434288,1769.0,4211.0,0.0,0.0,0.0,300000.0,0.0,0.0,300000.0,0.0,0.0,0.0,300000.0,0.0,0.0,
44434332,1769.0,4211.0,0.0,0.0,0.0,70000.0,0.0,0.0,70000.0,,,,,,,
44434352,1769.0,4211.0,0.0,0.0,0.0,95772.0,0.0,0.0,95772.0,,,,,,,
44434533,1769.0,4249.0,180000.0,0.0,0.0,0.0,0.0,0.0,180000.0,,,,,,,
44434659,1769.0,4249.0,48000.0,0.0,0.0,0.0,0.0,0.0,48000.0,,,,,,,
44434698,1769.0,4249.0,117772.0,0.0,0.0,0.0,0.0,0.0,117772.0,,,,,,,
44434871,1778.0,4250.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
44434893,1778.0,4250.0,0.0,0.0,0.0,43120.0,0.0,0.0,43120.0,,,,,,,
50378563,1769.0,4211.0,0.0,0.0,0.0,200000.0,0.0,0.0,200000.0,,,,,,,
50378946,1769.0,4211.0,0.0,0.0,0.0,150000.0,0.0,0.0,150000.0,,,,,,,
50379473,1769.0,4249.0,54492.0,0.0,0.0,0.0,0.0,0.0,54492.0,,,,,,,
50379756,1769.0,4249.0,160543.0,0.0,0.0,0.0,0.0,0.0,160543.0,,,,,,,
50380045,1769.0,4249.0,33002.0,0.0,0.0,0.0,0.0,0.0,33002.0,,,,,,,
50380394,1769.0,4249.0,54492.0,0.0,0.0,0.0,0.0,0.0,54492.0,,,,,,,
50380631,1769.0,4249.0,106090.0,0.0,0.0,0.0,0.0,0.0,106090.0,,,,,,,
50380926,1769.0,4249.0,91381.0,0.0,0.0,0.0,0.0,0.0,91381.0,,,,,,,
50385180,1778.0,4250.0,0.0,0.0,0.0,162137.0,0.0,0.0,162137.0,,,,,,,
50385618,1778.0,4250.0,0.0,0.0,0.0,12000.0,0.0,0.0,12000.0,,,,,,,
50386093,1778.0,4250.0,0.0,0.0,0.0,12000.0,0.0,0.0,12000.0,,,,,,,
50386577,1778.0,4250.0,0.0,0.0,0.0,30000.0,0.0,0.0,30000.0,,,,,,,
50386819,1778.0,4250.0,0.0,0.0,0.0,178274.0,0.0,0.0,178274.0,,,,,,,
44434317,1769.0,4211.0,0.0,0.0,0.0,250000.0,0.0,0.0,250000.0,0.0,0.0,0.0,250000.0,0.0,0.0,
44434761,1769.0,4249.0,500000.0,0.0,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,
44434774,1778.0,4250.0,0.0,0.0,0.0,150000.0,0.0,0.0,150000.0,0.0,0.0,0.0,150000.0,0.0,0.0,
44434793,1778.0,4250.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,100000.0,0.0,0.0,
44434810,1778.0,4250.0,0.0,0.0,0.0,150000.0,0.0,0.0,150000.0,0.0,0.0,0.0,150000.0,0.0,0.0,
44434838,1778.0,4250.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,100000.0,0.0,0.0,
48702295,1769.0,4249.0,200000.0,0.0,0.0,0.0,0.0,0.0,200000.0,,,,,,,
48702608,1769.0,4249.0,250000.0,0.0,0.0,0.0,0.0,0.0,250000.0,,,,,,,
48945030,1769.0,4249.0,32918.0,0.0,0.0,0.0,0.0,0.0,32918.0,,,,,,,
48945227,1769.0,4249.0,482917.0,0.0,0.0,0.0,0.0,0.0,482917.0,,,,,,,
48945351,1769.0,4211.0,0.0,0.0,0.0,150000.0,0.0,0.0,150000.0,,,,,,,
48945423,1769.0,4211.0,0.0,0.0,0.0,150000.0,0.0,0.0,150000.0,,,,,,,
48945521,1769.0,4211.0,0.0,0.0,0.0,335835.0,0.0,0.0,335835.0,,,,,,,
48945604,1769.0,4211.0,0.0,0.0,0.0,330000.0,0.0,0.0,330000.0,,,,,,,
48945928,1778.0,4250.0,0.0,0.0,0.0,73120.0,0.0,0.0,73120.0,,,,,,,
48946946,1778.0,4250.0,0.0,0.0,0.0,48000.0,0.0,0.0,48000.0,,,,,,,
48947039,1778.0,4250.0,0.0,0.0,0.0,180000.0,0.0,0.0,180000.0,,,,,,,
48947102,1778.0,4250.0,0.0,0.0,0.0,124917.0,0.0,0.0,124917.0,,,,,,,
48947241,1778.0,4250.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
48947511,1778.0,4250.0,0.0,0.0,0.0,117083.0,0.0,0.0,117083.0,,,,,,,
65640900,1769.0,4211.0,0.0,0.0,0.0,108992.0,0.0,0.0,108992.0,,,,,,,
65647782,1769.0,4249.0,75000.0,0.0,0.0,0.0,0.0,0.0,75000.0,,,,,,,
65647815,1769.0,4249.0,8000.0,0.0,0.0,0.0,0.0,0.0,8000.0,,,,,,,
65647846,1769.0,4249.0,10000.0,0.0,0.0,0.0,0.0,0.0,10000.0,,,,,,,
65647886,1769.0,4249.0,15000.0,0.0,0.0,0.0,0.0,0.0,15000.0,,,,,,,
65647910,1769.0,4249.0,72000.0,0.0,0.0,0.0,0.0,0.0,72000.0,,,,,,,
61656325,1769.0,4249.0,100000.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,
61688546,1769.0,4249.0,48000.0,0.0,0.0,0.0,0.0,0.0,48000.0,,,,,,,
65640607,1778.0,4251.0,0.0,0.0,0.0,200000.0,0.0,0.0,200000.0,,,,,,,
65640647,1778.0,4251.0,0.0,0.0,0.0,200000.0,0.0,0.0,200000.0,,,,,,,
65640676,1778.0,4251.0,0.0,0.0,0.0,118120.0,0.0,0.0,118120.0,,,,,,,
65640722,1778.0,4251.0,0.0,0.0,0.0,125000.0,0.0,0.0,125000.0,,,,,,,
65640793,1769.0,4211.0,0.0,0.0,0.0,400000.0,0.0,0.0,400000.0,,,,,,,
65640848,1769.0,4211.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
65647203,1769.0,4249.0,128744.0,0.0,0.0,0.0,0.0,0.0,128744.0,,,,,,,
65647221,1769.0,4249.0,80000.0,0.0,0.0,0.0,0.0,0.0,80000.0,,,,,,,
65647242,1769.0,4249.0,200000.0,0.0,0.0,0.0,0.0,0.0,200000.0,,,,,,,
65647344,1769.0,4249.0,50000.0,0.0,0.0,0.0,0.0,0.0,50000.0,,,,,,,
65647385,1769.0,4249.0,107000.0,0.0,0.0,0.0,0.0,0.0,107000.0,,,,,,,
65647681,1769.0,4249.0,114594.0,0.0,0.0,0.0,0.0,0.0,114594.0,,,,,,,
65647752,1769.0,4249.0,5150.0,0.0,0.0,0.0,0.0,0.0,5150.0,,,,,,,
61654298,1778.0,4251.0,0.0,0.0,0.0,200000.0,0.0,0.0,200000.0,0.0,0.0,0.0,200000.0,0.0,0.0,
61654557,1778.0,4251.0,0.0,0.0,0.0,50000.0,0.0,0.0,50000.0,0.0,0.0,0.0,50000.0,0.0,0.0,
61654669,1778.0,4251.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,100000.0,0.0,0.0,
61654792,1778.0,4251.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,100000.0,0.0,0.0,
61655118,1778.0,4251.0,0.0,0.0,0.0,118120.0,0.0,0.0,118120.0,0.0,0.0,0.0,118120.0,0.0,0.0,
61655334,1778.0,4251.0,0.0,0.0,0.0,75000.0,0.0,0.0,75000.0,0.0,0.0,0.0,75000.0,0.0,0.0,
61655498,1769.0,4211.0,0.0,0.0,0.0,300000.0,0.0,0.0,300000.0,0.0,0.0,0.0,300000.0,0.0,0.0,
61655596,1769.0,4211.0,0.0,0.0,0.0,130000.0,0.0,0.0,130000.0,0.0,0.0,0.0,130000.0,0.0,0.0,
61655695,1769.0,4211.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,100000.0,0.0,0.0,
