expenditure_id,voucher_pk,gp_lgd_code,fiscal_year,voucher_no,voucher_date,voucher_cost
1,186.0,119598,2025-2026,XVFC/2025-26/P/143,2025-10-31,150000.0
1,187.0,119598,2025-2026,XVFC/2025-26/P/144,2025-10-31,205.0
1,188.0,119598,2025-2026,XVFC/2025-26/P/145,2025-10-31,1772.0
1,192.0,119598,2025-2026,XVFC/2025-26/P/147,2025-11-11,26919.0
1,278.0,119598,2025-2026,XVFC/2025-26/P/191,2026-03-30,205294.0
1,279.0,119598,2025-2026,XVFC/2025-26/P/192,2026-03-30,8308.0
1,280.0,119598,2025-2026,XVFC/2025-26/P/193,2026-03-30,2193.0
3,1028.0,119598,2021-2022,XVFC/2021-22/P/10,2021-12-27,231695.0
3,1029.0,119598,2021-2022,XVFC/2021-22/P/11,2021-12-27,7266.0
3,1030.0,119598,2021-2022,XVFC/2021-22/P/12,2021-12-27,2500.0
4,1031.0,119598,2021-2022,XVFC/2021-22/P/7,2021-12-27,369673.0
4,1032.0,119598,2021-2022,XVFC/2021-22/P/8,2021-12-27,11655.0
4,1033.0,119598,2021-2022,XVFC/2021-22/P/9,2021-12-27,3990.0
7,1020.0,119598,2021-2022,XVFC/2021-22/P/4,2021-12-10,187730.0
7,1021.0,119598,2021-2022,XVFC/2021-22/P/5,2021-12-10,8036.0
7,1022.0,119598,2021-2022,XVFC/2021-22/P/6,2021-12-10,2000.0
8,1034.0,119598,2021-2022,5THSFC/2021-22/P/11,2022-02-11,140209.0
8,1035.0,119598,2021-2022,5THSFC/2021-22/P/12,2022-02-11,3506.0
8,1036.0,119598,2021-2022,5THSFC/2021-22/P/13,2022-02-11,1500.0
9,1017.0,119598,2021-2022,XVFC/2021-22/P/1,2021-12-10,170318.0
9,1018.0,119598,2021-2022,XVFC/2021-22/P/2,2021-12-10,5393.0
9,1019.0,119598,2021-2022,XVFC/2021-22/P/3,2021-12-10,1819.0
10,349.0,119598,2024-2025,XVFC/2024-25/P/17,2024-11-21,495000.0
10,350.0,119598,2024-2025,XVFC/2024-25/P/18,2024-11-21,5000.0
11,358.0,119598,2024-2025,5THSFC/2024-25/P/15,2024-12-23,22727.0
11,359.0,119598,2024-2025,5THSFC/2024-25/P/16,2024-12-23,9539.0
11,385.0,119598,2024-2025,5THSFC/2024-25/P/24,2025-02-24,12150.0
11,386.0,119598,2024-2025,5THSFC/2024-25/P/25,2025-02-24,20703.0
11,420.0,119598,2024-2025,5THSFC/2024-25/P/43,2025-03-26,6714.0
11,421.0,119598,2024-2025,5THSFC/2024-25/P/44,2025-03-26,9866.0
11,30.0,119598,2025-2026,5THSFC/2025-26/P/5,2025-05-29,15126.0
11,138.0,119598,2025-2026,5THSFC/2025-26/P/9,2025-07-17,12798.0
11,133.0,119598,2025-2026,5THSFC/2025-26/P/10,2025-07-17,7852.0
11,134.0,119598,2025-2026,5THSFC/2025-26/P/11,2025-07-17,9187.0
11,174.0,119598,2025-2026,5THSFC/2025-26/P/14,2025-10-25,108124.0
11,175.0,119598,2025-2026,5THSFC/2025-26/P/15,2025-10-25,35905.0
11,176.0,119598,2025-2026,5THSFC/2025-26/P/16,2025-10-25,46002.0
11,198.0,119598,2025-2026,5THSFC/2025-26/P/26,2025-12-11,49543.0
11,199.0,119598,2025-2026,5THSFC/2025-26/P/27,2025-12-11,19613.0
11,200.0,119598,2025-2026,5THSFC/2025-26/P/28,2025-12-11,20869.0
11,226.0,119598,2025-2026,5THSFC/2025-26/P/46,2026-02-21,21135.0
11,227.0,119598,2025-2026,5THSFC/2025-26/P/47,2026-02-21,50812.0
12,339.0,119598,2024-2025,XVFC/2024-25/P/6,2024-10-02,179042.0
12,340.0,119598,2024-2025,XVFC/2024-25/P/7,2024-10-02,1809.0
13,1003.0,119598,2021-2022,5THSFC/2021-22/P/2,2021-10-02,12000.0
13,1004.0,119598,2021-2022,5THSFC/2021-22/P/3,2021-10-02,6000.0
13,1005.0,119598,2021-2022,5THSFC/2021-22/P/4,2021-10-02,6000.0
13,1013.0,119598,2021-2022,5THSFC/2021-22/P/5,2021-12-10,8000.0
13,1014.0,119598,2021-2022,5THSFC/2021-22/P/6,2021-12-10,4000.0
13,1015.0,119598,2021-2022,5THSFC/2021-22/P/7,2021-12-10,4000.0
13,745.0,119598,2022-2023,5THSFC/2022-23/P/4,2022-07-14,8000.0
13,746.0,119598,2022-2023,5THSFC/2022-23/P/5,2022-07-14,4000.0
13,747.0,119598,2022-2023,5THSFC/2022-23/P/6,2022-07-14,4000.0
13,765.0,119598,2022-2023,5THSFC/2022-23/P/9,2022-08-19,4000.0
13,763.0,119598,2022-2023,5THSFC/2022-23/P/10,2022-08-19,2000.0
13,764.0,119598,2022-2023,5THSFC/2022-23/P/11,2022-08-19,2000.0
13,773.0,119598,2022-2023,5THSFC/2022-23/P/16,2022-09-12,4000.0
13,774.0,119598,2022-2023,5THSFC/2022-23/P/17,2022-09-12,2000.0
13,530.0,119598,2023-2024,5THSFC/2023-24/P/3,2023-06-06,4000.0
13,531.0,119598,2023-2024,5THSFC/2023-24/P/4,2023-06-06,2000.0
13,532.0,119598,2023-2024,5THSFC/2023-24/P/5,2023-06-06,2000.0
13,384.0,119598,2024-2025,5THSFC/2024-25/P/23,2025-02-24,22000.0
14,363.0,119598,2024-2025,5THSFC/2024-25/P/17,2025-02-21,188860.0
14,364.0,119598,2024-2025,5THSFC/2024-25/P/18,2025-02-21,5505.0
14,365.0,119598,2024-2025,5THSFC/2024-25/P/19,2025-02-21,2000.0
15,403.0,119598,2024-2025,5THSFC/2024-25/P/27,2025-03-11,20000.0
15,441.0,119598,2024-2025,5THSFC/2024-25/P/45,2025-03-29,6000.0
15,137.0,119598,2025-2026,5THSFC/2025-26/P/8,2025-07-17,14952.0
16,34.0,119598,2025-2026,XVFC/2025-26/P/7,2025-05-29,372319.0
16,35.0,119598,2025-2026,XVFC/2025-26/P/8,2025-05-29,17561.0
16,36.0,119598,2025-2026,XVFC/2025-26/P/9,2025-05-29,4000.0
17,355.0,119598,2024-2025,5THSFC/2024-25/P/12,2024-12-23,44019.0
