row_id,gp_lgd_code,gp_name,plan_year,doc_type,source_file,activity_code,work_plan_year,adm_approval_no,adm_approval_sanction_date,work_proposed_cost,adm_approval_authority
116350|2020|AA|0,116350,Hirlipali,2020,AA,2020_AA.json,44434659,2020,1,2021-02-10,48000.0,BDO
116350|2020|AA|1,116350,Hirlipali,2020,AA,2020_AA.json,44434533,2020,3,2021-02-10,180000.0,BDO
116350|2020|AA|2,116350,Hirlipali,2020,AA,2020_AA.json,44434332,2020,2,2021-02-10,70000.0,BDO
116350|2020|AA|3,116350,Hirlipali,2020,AA,2020_AA.json,50379473,2020,4,2021-02-25,54492.0,BDO
116350|2020|AA|4,116350,Hirlipali,2020,AA,2020_AA.json,50380045,2020,2,2021-02-25,33002.0,BDO
116350|2020|AA|5,116350,Hirlipali,2020,AA,2020_AA.json,50380394,2020,1,2021-02-25,54492.0,BDO
116350|2020|AA|6,116350,Hirlipali,2020,AA,2020_AA.json,50386819,2020,1,2021-04-12,178274.0,BDO
116350|2020|AA|7,116350,Hirlipali,2020,AA,2020_AA.json,44434249,2020,2,2020-11-06,100000.0,BDO
116350|2020|AA|8,116350,Hirlipali,2020,AA,2020_AA.json,44434352,2020,5,2021-02-10,95772.0,BDO
116350|2020|AA|9,116350,Hirlipali,2020,AA,2020_AA.json,44434893,2020,6,2021-02-10,43120.0,BDO
116350|2020|AA|10,116350,Hirlipali,2020,AA,2020_AA.json,44434698,2020,7,2021-02-10,117772.0,bdo
116350|2020|AA|11,116350,Hirlipali,2020,AA,2020_AA.json,44434871,2020,1,2021-04-01,100000.0,BDO
116350|2020|AA|12,116350,Hirlipali,2020,AA,2020_AA.json,44434227,2020,10,2020-11-06,150000.0,BDO
116350|2020|AA|13,116350,Hirlipali,2020,AA,2020_AA.json,44434288,2020,11,2020-11-06,300000.0,BDO
116350|2020|AA|14,116350,Hirlipali,2020,AA,2020_AA.json,50380926,2020,1,2021-02-26,91381.0,BDO
116350|2020|AA|15,116350,Hirlipali,2020,AA,2020_AA.json,50379756,2020,2,2021-02-26,160543.0,BDO
116350|2020|AA|16,116350,Hirlipali,2020,AA,2020_AA.json,50380631,2020,4,2021-02-26,106090.0,BDO
116350|2020|AA|17,116350,Hirlipali,2020,AA,2020_AA.json,50385180,2020,6,2021-02-26,162137.0,BDO
116350|2020|AA|18,116350,Hirlipali,2020,AA,2020_AA.json,50386577,2020,1,2021-12-22,30000.0,BDO
116350|2020|AA|19,116350,Hirlipali,2020,AA,2020_AA.json,50378946,2020,1,2021-04-12,150000.0,BDO
116350|2020|AA|20,116350,Hirlipali,2020,AA,2020_AA.json,50386093,2020,16,2021-12-22,12000.0,BDO
116350|2020|AA|21,116350,Hirlipali,2020,AA,2020_AA.json,50385618,2020,16,2021-12-23,12000.0,BDO
116350|2020|AA|22,116350,Hirlipali,2020,AA,2020_AA.json,50378563,2020,1,2024-07-12,200000.0,BDO
116350|2021|AA|0,116350,Hirlipali,2021,AA,2021_AA.json,48947039,2021,1,2021-04-01,180000.0,BDO
116350|2021|AA|1,116350,Hirlipali,2021,AA,2021_AA.json,48945604,2021,5,2021-12-03,330000.0,BDO
116350|2021|AA|2,116350,Hirlipali,2021,AA,2021_AA.json,48702295,2021,6,2021-12-03,200000.0,BDO
116350|2021|AA|3,116350,Hirlipali,2021,AA,2021_AA.json,48945521,2021,4,2021-12-03,335835.0,BDO
116350|2021|AA|4,116350,Hirlipali,2021,AA,2021_AA.json,48946946,2021,1,2021-04-01,48000.0,BDO
116350|2021|AA|5,116350,Hirlipali,2021,AA,2021_AA.json,48702608,2021,7,2021-12-24,250000.0,BDO
116350|2021|AA|6,116350,Hirlipali,2021,AA,2021_AA.json,48945928,2021,1,2021-11-01,73120.0,BDO
116350|2021|AA|7,116350,Hirlipali,2021,AA,2021_AA.json,48947102,2021,1,2021-05-01,124917.0,BDO
116350|2021|AA|8,116350,Hirlipali,2021,AA,2021_AA.json,48945227,2021,1,2021-12-03,482917.0,bdo
116350|2021|AA|9,116350,Hirlipali,2021,AA,2021_AA.json,48945351,2021,1,2021-12-03,150000.0,BDO
116350|2021|AA|10,116350,Hirlipali,2021,AA,2021_AA.json,48945423,2021,2,2021-12-18,150000.0,BDO
116350|2021|AA|11,116350,Hirlipali,2021,AA,2021_AA.json,48947241,2021,1,2022-08-05,100000.0,BDO
116350|2021|AA|12,116350,Hirlipali,2021,AA,2021_AA.json,48947511,2021,1,2025-09-29,117083.0,BDO
116350|2021|AA|13,116350,Hirlipali,2021,AA,2021_AA.json,48945030,2021,1,2024-12-03,32918.0,BDO
116350|2022|AA|0,116350,Hirlipali,2022,AA,2022_AA.json,61688546,2022,1,2022-07-22,48000.0,BDO
116350|2022|AA|1,116350,Hirlipali,2022,AA,2022_AA.json,65647242,2022,1,2022-12-28,200000.0,BDO
116350|2022|AA|2,116350,Hirlipali,2022,AA,2022_AA.json,65647752,2022,2,2023-02-14,5150.0,BDO
116350|2022|AA|3,116350,Hirlipali,2022,AA,2022_AA.json,61656325,2022,1,2022-11-08,100000.0,BDO
116350|2022|AA|4,116350,Hirlipali,2022,AA,2022_AA.json,65647681,2022,2,2022-11-10,114594.0,BDO
116350|2022|AA|5,116350,Hirlipali,2022,AA,2022_AA.json,65640607,2022,1,2023-02-14,200000.0,BDO
116350|2022|AA|6,116350,Hirlipali,2022,AA,2022_AA.json,65640848,2022,2,2023-05-02,100000.0,BDO
116350|2022|AA|7,116350,Hirlipali,2022,AA,2022_AA.json,65640647,2022,18,2022-11-03,200000.0,BDO
116350|2022|AA|8,116350,Hirlipali,2022,AA,2022_AA.json,65647203,2022,1,2023-03-03,128744.0,BDO
116350|2022|AA|9,116350,Hirlipali,2022,AA,2022_AA.json,65647344,2022,5,2023-02-23,50000.0,BDO
116350|2022|AA|10,116350,Hirlipali,2022,AA,2022_AA.json,65647221,2022,2,2023-06-19,80000.0,BDO
116350|2022|AA|11,116350,Hirlipali,2022,AA,2022_AA.json,65640793,2022,4,2023-06-06,400000.0,BDO
116350|2022|AA|12,116350,Hirlipali,2022,AA,2022_AA.json,65640676,2022,2,2022-10-04,118120.0,BDO
116350|2022|AA|13,116350,Hirlipali,2022,AA,2022_AA.json,65640722,2022,1,2025-04-01,125000.0,BDO
