row_id,parent_row_id,pos,activity_code,scheme_code,scheme_component_code,fund_sanctioned_general,fund_sanctioned_sc,fund_sanctioned_st,fund_sanctioned_total
116350|2020|AA|0/admapprovalschemewebservice:0,116350|2020|AA|0,0,44434659,1769,4249,48000.0,,,48000.0
116350|2020|AA|1/admapprovalschemewebservice:0,116350|2020|AA|1,0,44434533,1769,4249,180000.0,,,180000.0
116350|2020|AA|2/admapprovalschemewebservice:0,116350|2020|AA|2,0,44434332,1769,4211,70000.0,,,70000.0
116350|2020|AA|3/admapprovalschemewebservice:0,116350|2020|AA|3,0,50379473,1769,4249,54492.0,,,54492.0
116350|2020|AA|4/admapprovalschemewebservice:0,116350|2020|AA|4,0,50380045,1769,4249,33002.0,,,33002.0
116350|2020|AA|5/admapprovalschemewebservice:0,116350|2020|AA|5,0,50380394,1769,4249,54492.0,,,54492.0
116350|2020|AA|6/admapprovalschemewebservice:0,116350|2020|AA|6,0,50386819,1778,4250,178274.0,,,178274.0
116350|2020|AA|7/admapprovalschemewebservice:0,116350|2020|AA|7,0,44434249,1769,4211,100000.0,,,100000.0
116350|2020|AA|8/admapprovalschemewebservice:0,116350|2020|AA|8,0,44434352,1769,4211,95772.0,,,95772.0
116350|2020|AA|9/admapprovalschemewebservice:0,116350|2020|AA|9,0,44434893,1778,4250,43120.0,,,43120.0
116350|2020|AA|10/admapprovalschemewebservice:0,116350|2020|AA|10,0,44434698,1769,4249,117772.0,,,117772.0
116350|2020|AA|11/admapprovalschemewebservice:0,116350|2020|AA|11,0,44434871,1778,4250,100000.0,,,100000.0
116350|2020|AA|12/admapprovalschemewebservice:0,116350|2020|AA|12,0,44434227,1769,4211,150000.0,,,150000.0
116350|2020|AA|13/admapprovalschemewebservice:0,116350|2020|AA|13,0,44434288,1769,4211,300000.0,,,300000.0
116350|2020|AA|14/admapprovalschemewebservice:0,116350|2020|AA|14,0,50380926,1769,4249,91381.0,,,91381.0
116350|2020|AA|15/admapprovalschemewebservice:0,116350|2020|AA|15,0,50379756,1769,4249,160543.0,,,160543.0
116350|2020|AA|16/admapprovalschemewebservice:0,116350|2020|AA|16,0,50380631,1769,4249,106090.0,,,106090.0
116350|2020|AA|17/admapprovalschemewebservice:0,116350|2020|AA|17,0,50385180,1778,4250,162137.0,,,162137.0
116350|2020|AA|18/admapprovalschemewebservice:0,116350|2020|AA|18,0,50386577,1778,4250,30000.0,,,30000.0
116350|2020|AA|19/admapprovalschemewebservice:0,116350|2020|AA|19,0,50378946,1769,4211,150000.0,,,150000.0
116350|2020|AA|20/admapprovalschemewebservice:0,116350|2020|AA|20,0,50386093,1778,4250,12000.0,,,12000.0
116350|2020|AA|21/admapprovalschemewebservice:0,116350|2020|AA|21,0,50385618,1778,4250,12000.0,,,12000.0
116350|2020|AA|22/admapprovalschemewebservice:0,116350|2020|AA|22,0,50378563,1769,4211,200000.0,,,200000.0
116350|2021|AA|0/admapprovalschemewebservice:0,116350|2021|AA|0,0,48947039,1778,4250,180000.0,,,180000.0
116350|2021|AA|1/admapprovalschemewebservice:0,116350|2021|AA|1,0,48945604,1769,4211,330000.0,,,330000.0
116350|2021|AA|2/admapprovalschemewebservice:0,116350|2021|AA|2,0,48702295,1769,4249,200000.0,,,200000.0
116350|2021|AA|3/admapprovalschemewebservice:0,116350|2021|AA|3,0,48945521,1769,4211,335835.0,,,335835.0
116350|2021|AA|4/admapprovalschemewebservice:0,116350|2021|AA|4,0,48946946,1778,4250,48000.0,,,48000.0
116350|2021|AA|5/admapprovalschemewebservice:0,116350|2021|AA|5,0,48702608,1769,4249,250000.0,,,250000.0
116350|2021|AA|6/admapprovalschemewebservice:0,116350|2021|AA|6,0,48945928,1778,4250,73120.0,,,73120.0
116350|2021|AA|7/admapprovalschemewebservice:0,116350|2021|AA|7,0,48947102,1778,4250,124917.0,,,124917.0
116350|2021|AA|8/admapprovalschemewebservice:0,116350|2021|AA|8,0,48945227,1769,4249,482917.0,,,482917.0
116350|2021|AA|9/admapprovalschemewebservice:0,116350|2021|AA|9,0,48945351,1769,4211,150000.0,,,150000.0
116350|2021|AA|10/admapprovalschemewebservice:0,116350|2021|AA|10,0,48945423,1769,4211,150000.0,,,150000.0
116350|2021|AA|11/admapprovalschemewebservice:0,116350|2021|AA|11,0,48947241,1778,4250,100000.0,,,100000.0
116350|2021|AA|12/admapprovalschemewebservice:0,116350|2021|AA|12,0,48947511,1778,4250,117083.0,,,117083.0
116350|2021|AA|13/admapprovalschemewebservice:0,116350|2021|AA|13,0,48945030,1769,4249,32918.0,,,32918.0
116350|2022|AA|0/admapprovalschemewebservice:0,116350|2022|AA|0,0,61688546,1769,4249,48000.0,,,48000.0
116350|2022|AA|1/admapprovalschemewebservice:0,116350|2022|AA|1,0,65647242,1769,4249,200000.0,,,200000.0
