variable,code,description,source,confidence
activity_type,61,Public Works,Conflict,high
activity_type,62,Beneficiary Oriented Programmes,Derived,medium
focus_area,1,Agriculture,Confirmed,medium
focus_area,2,Land improvement,Confirmed,high
focus_area,3,Water Conservation,Confirmed,high
focus_area,4,Animal husbandry,User-supplied,
focus_area,5,Fisheries,User-supplied,
focus_area,6,Social forestry and farm forestry,User-supplied,
focus_area,8,Small-scale industries,User-supplied,
focus_area,9,Khadi,User-supplied,
focus_area,10,Rural housing,User-supplied,
focus_area,11,Drinking water,Confirmed,high
focus_area,12,Fuel and fodder,User-supplied,
focus_area,13,Roads,Confirmed,high
focus_area,14,Rural electrification,Confirmed,high
focus_area,15,Non-conventional energy sources,Confirmed,high
focus_area,16,Poverty allevation programme,Confirmed,high
focus_area,17,Education,Confirmed,high
focus_area,18,Technical training and vocational education,Confirmed,medium
focus_area,20,Libraries,Confirmed,medium
focus_area,21,Cultural activities,Confirmed,high
focus_area,22,Markets and fairs,Confirmed,high
focus_area,24,Family welfare,Confirmed,medium
focus_area,25,Women and child development,Confirmed,high
focus_area,26,Social welfare,Confirmed,high
focus_area,27,Welfare of the weaker sections,User-supplied,
focus_area,28,Public distribution system,User-supplied,
focus_area,29,Maintenance of community system,Confirmed,high
focus_area,53,Administrative & Technical Support,User-supplied,
focus_area,54,GP Office Infrastructure,Confirmed,high
focus_area,55,Health,Confirmed,high
focus_area,56,Sanitation,Confirmed,high
activity_for,111,General,User-supplied,
activity_for,112,sc,User-supplied,
activity_for,113,st,User-supplied,
activity_for,114,ALL/ General public,User-supplied,
work_type,141,New/Fresh,Conflict,high
work_type,142,,Unresolved,
work_type,143,Maintenance,Confirmed,high
work_type,144,Upgradation,Derived,high
is_costless_activity,0,No - activity has a cost,Derived,high
is_costless_activity,1,Yes - costless activity,Derived,high
operation_type,1,,Unresolved,
operation_type,2,,Unresolved,
operation_type,3,,Unresolved,
operation_type,4,,Unresolved,
operation_type,5,,Unresolved,
operation_type,6,,Unresolved,
operation_type,7,,Unresolved,
main_asset_category,4,Irrigation Sources,Derived,high
main_asset_category,6,Pond & Reservoir,Derived,medium
main_asset_category,10,Water Sources & Structures,Derived,high
main_asset_category,15,"Roads, Bridges & Culverts",Derived,high
main_asset_category,29,Community Sanitation,Derived,medium
main_asset_category,60,Electrification,Derived,high
main_asset_category,63,Sanitation & Sewerage Facilities,Derived,high
main_asset_category,77,Buildings,Derived,high
main_asset_category,97,Recreational Facilities,Derived,high
main_asset_category,103,Medical & Health Facilities,Derived,high
main_asset_category,104,Education Facilities,Derived,high
main_asset_category,105,Banking Facilities,Derived,medium
main_asset_category,106,Other Public/Social,Derived,high
main_asset_category,407,Land,Derived,high
main_asset_category,451,Solid Waste Management,Derived,medium
main_asset_category,453,Household Sanitation,Derived,high
main_asset_category,454,Community Sanitation,Derived,high
main_asset_category,456,Plastic Waste Management,Derived,high
main_asset_category,457,Liquid Waste Management,Derived,high
main_asset_category,462,Drinking water supply structure,Derived,high
main_asset_category,465,Grey water management,Derived,high
main_asset_subcategory,1,Well,Derived,high
main_asset_subcategory,2,Borewell,Derived,high
main_asset_subcategory,3,Pond,Derived,high
main_asset_subcategory,4,Spring Box,Derived,high
main_asset_subcategory,8,Pump,Derived,high
main_asset_subcategory,10,Public Taps,Derived,high
main_asset_subcategory,11,Pump House,Derived,high
main_asset_subcategory,13,Water Purification System,Derived,high
main_asset_subcategory,25,Foot Bridge,Derived,high
main_asset_subcategory,26,Rain Water Harvest Tank,Derived,high
main_asset_subcategory,28,Septic Tank,Derived,high
main_asset_subcategory,29,Toilet,Derived,high
main_asset_subcategory,33,,Unresolved,
main_asset_subcategory,37,Panchayat Bhawan,Derived,high
main_asset_subcategory,38,Aanganwadi,Derived,high
main_asset_subcategory,44,Shelter Home,Derived,high
main_asset_subcategory,46,Computer Centre,Derived,high
main_asset_subcategory,47,Library Building,Derived,high
main_asset_subcategory,53,Schools,Derived,high
main_asset_subcategory,55,Play Ground / Park,Derived,high
main_asset_subcategory,56,Health Centres,Derived,high
main_asset_subcategory,59,Government Sponsored Houses,Derived,high
main_asset_subcategory,62,Drainage,Derived,high
main_asset_subcategory,63,Other Sanitation Asset,Derived,high
main_asset_subcategory,64,Minor Irrigation Structures,Derived,high
main_asset_subcategory,66,Commercial Complexes,Derived,high
main_asset_subcategory,452,Water Tank,Derived,high
main_asset_subcategory,457,Cultural Stage,Derived,high
main_asset_subcategory,458,Road CC,Derived,high
main_asset_subcategory,459,Road BT,Derived,high
main_asset_subcategory,460,,Unresolved,
main_asset_subcategory,1026,,Unresolved,
main_asset_subcategory,1045,Mahila Mandals,Derived,high
main_asset_subcategory,1057,Youth Club Buildings,Derived,high
