focus_area_name,lsdg_theme,distinct_themes,n_rows
Sanitation,Theme 5 - Clean and Green Village ,3.0,350.0
Drinking water,Theme 4 - Water Sufficient Village,3.0,280.0
Maintenance of community system,Theme 6 - Self-sufficient Infrastructure in Village,3.0,115.0
Roads,Theme 6 - Self-sufficient Infrastructure in Village,1.0,100.0
Health,Theme 6 - Self-sufficient Infrastructure in Village,3.0,44.0
Land improvement,Theme 6 - Self-sufficient Infrastructure in Village,2.0,32.0
Women and child development,Theme 3 - Child Friendly Village,1.0,28.0
Education,Theme 6 - Self-sufficient Infrastructure in Village,2.0,25.0
Water Conservation,Theme 4 - Water Sufficient Village,1.0,19.0
GP Office Infrastructure,Theme 8 - Village with Good Governance,2.0,12.0
Social welfare,Theme 6 - Self-sufficient Infrastructure in Village,2.0,7.0
Rural electrification,Theme 6 - Self-sufficient Infrastructure in Village,1.0,6.0
Non-conventional energy sources,Theme 5 - Clean and Green Village ,2.0,6.0
Agriculture,Theme 1 - Poverty Free and Enhanced Livelihoods Village,1.0,1.0
Libraries,Theme 6 - Self-sufficient Infrastructure in Village,1.0,1.0
Poverty allevation programme,Theme 8 - Village with Good Governance,1.0,1.0
Technical training and vocational education,Theme 1 - Poverty Free and Enhanced Livelihoods Village,1.0,1.0
