scheme_code,scheme_name
38,Mg National Rural Employment Guarantee Act
102,Nsap - Indira Gandhi National Old Age Pension Scheme
103,Nsap - Indira Gandhi National Widow Pension Scheme
104,Nsap - Indira Gandhi National Disability Pension Scheme
105,Nsap - National Family Benefit Scheme
107,Samagra Shiksha - Stipend For Cwsn
108,Samagra Shiksha - Benefit For Cwsn
109,Jal Jeevan Mission
110,Swachh Bharat Mission
112,National Rural Livelihood Mission
115,Pradhan Mantri Awaas Yojana – Gramin
116,Pm Kisan Samman Nidhi Yojana
