gp_lgd_code,gp_name,state_code,state_name,district_code,zp_name,block_code,block_name
116350,Hirlipali,21,Odisha,306,Bargarh,3674,Attabira
116397,Bandhpali,21,Odisha,306,Bargarh,3676,Barpali
116400,Bhatigaon,21,Odisha,306,Bargarh,3676,Barpali
116438,Bheden,21,Odisha,306,Bargarh,3678,Bheden
116936,Dadhapatna,21,Odisha,309,Cuttack,3699,Baranga
117153,Govindapur,21,Odisha,309,Cuttack,3707,Tangi Choudwar
117835,Chikilli,21,Odisha,313,Ganjam,3740,Khallikote
117951,Biswamathpur,21,Odisha,313,Ganjam,3745,Rangeilunda
118012,Sharagada,21,Odisha,313,Ganjam,3747,Sheragada
118939,Dutimendi,21,Odisha,318,Kandhamal,3790,Khajuripada
119598,Andhrua,21,Odisha,321,Khordha,3823,Bhubaneswar
119599,Barimunda,21,Odisha,321,Khordha,3823,Bhubaneswar
119605,Itipur,21,Odisha,321,Khordha,3823,Bhubaneswar
119717,Boipariguda,21,Odisha,322,Koraput,3830,Boipariguda
119862,Laxmipur,21,Odisha,322,Koraput,3838,Laxmipur
119936,Kalimela,21,Odisha,323,Malkangiri,3843,Kalimela
121162,Kalyansinghpur,21,Odisha,329,Rayagada,3914,Kalyansingpur
121526,Karuabahal,21,Odisha,332,Sundargarh,3936,Balisankara
121663,Haldikudar,21,Odisha,332,Sundargarh,3945,Lahunipara
275075,Mendarajpur,21,Odisha,313,Ganjam,3745,Rangeilunda
