row_id,parent_row_id,pos,activity_code,file_upload_id,longitude,latitude,n_coords,longitude_raw,latitude_raw,plan_unit_type_code
116350|2020|PP|0/physicalprogressassetstageuploadwebservice:0,116350|2020|PP|0,0,44434659,2990728,83.7814979,21.3711286,1,83.7814979,21.3711286,3
116350|2020|PP|0/physicalprogressassetstageuploadwebservice:1,116350|2020|PP|0,1,44434659,2990727,83.7814946,21.3711282,1,83.7814946,21.3711282,3
116350|2020|PP|1/physicalprogressassetstageuploadwebservice:0,116350|2020|PP|1,0,50380394,4790032,83.7815691,21.3711886,1,83.7815691,21.3711886,3
116350|2020|PP|1/physicalprogressassetstageuploadwebservice:1,116350|2020|PP|1,1,50380394,4790034,83.781574,21.3711821,1,83.781574,21.3711821,3
116350|2020|PP|2/physicalprogressassetstageuploadwebservice:0,116350|2020|PP|2,0,50380045,4790039,83.7815734,21.3711899,1,83.7815734,21.3711899,3
116350|2020|PP|3/physicalprogressassetstageuploadwebservice:0,116350|2020|PP|3,0,50379473,4790029,83.781573,21.3711923,1,83.781573,21.3711923,3
116350|2020|PP|3/physicalprogressassetstageuploadwebservice:1,116350|2020|PP|3,1,50379473,4790023,83.781573,21.3711898,1,83.781573,21.3711898,3
116350|2020|PP|5/physicalprogressassetstageuploadwebservice:0,116350|2020|PP|5,0,50386819,13194970,83.7815807,21.3711999,2,"83.7815807,83.7815986","21.3711999,21.3712009",3
116350|2020|PP|6/physicalprogressassetstageuploadwebservice:0,116350|2020|PP|6,0,44434698,2990742,83.7814986,21.3711289,1,83.7814986,21.3711289,3
116350|2020|PP|16/physicalprogressassetstageuploadwebservice:0,116350|2020|PP|16,0,44434227,3503435,83.7814677,21.3711619,1,83.7814677,21.3711619,3
116350|2020|PP|16/physicalprogressassetstageuploadwebservice:1,116350|2020|PP|16,1,44434227,3503358,83.7814686,21.371163,1,83.7814686,21.371163,3
116350|2020|PP|17/physicalprogressassetstageuploadwebservice:0,116350|2020|PP|17,0,44434288,3503512,83.7814677,21.3711619,1,83.7814677,21.3711619,3
116350|2020|PP|18/physicalprogressassetstageuploadwebservice:0,116350|2020|PP|18,0,44434871,4357468,83.7815412,21.3711778,1,83.7815412,21.3711778,3
116350|2020|PP|19/physicalprogressassetstageuploadwebservice:0,116350|2020|PP|19,0,50380926,4789060,83.7815725,21.3711896,1,83.7815725,21.3711896,3
116350|2020|PP|19/physicalprogressassetstageuploadwebservice:1,116350|2020|PP|19,1,50380926,4789061,83.7815733,21.3711894,1,83.7815733,21.3711894,3
116350|2020|PP|20/physicalprogressassetstageuploadwebservice:0,116350|2020|PP|20,0,50379756,4789147,83.7815738,21.3711892,1,83.7815738,21.3711892,3
116350|2020|PP|21/physicalprogressassetstageuploadwebservice:0,116350|2020|PP|21,0,50380631,4790027,83.7815747,21.3711882,1,83.7815747,21.3711882,3
116350|2020|PP|21/physicalprogressassetstageuploadwebservice:1,116350|2020|PP|21,1,50380631,4790043,83.7815746,21.371188,1,83.7815746,21.371188,3
116350|2020|PP|21/physicalprogressassetstageuploadwebservice:2,116350|2020|PP|21,2,50380631,4790048,83.7815747,21.3711882,1,83.7815747,21.3711882,3
116350|2020|PP|21/physicalprogressassetstageuploadwebservice:3,116350|2020|PP|21,3,50380631,4790025,83.7815746,21.371188,1,83.7815746,21.371188,3
116350|2020|PP|22/physicalprogressassetstageuploadwebservice:0,116350|2020|PP|22,0,50385180,4790037,83.7815738,21.3711902,1,83.7815738,21.3711902,3
116350|2020|PP|23/physicalprogressassetstageuploadwebservice:0,116350|2020|PP|23,0,44434249,5918534,83.78170246,21.37114969,1,83.78170246,21.37114969,3
116350|2020|PP|24/physicalprogressassetstageuploadwebservice:0,116350|2020|PP|24,0,50386577,6420728,83.7814408,21.3711587,1,83.7814408,21.3711587,3
116350|2020|PP|25/physicalprogressassetstageuploadwebservice:0,116350|2020|PP|25,0,50378946,7424545,83.7815992,21.3711622,2,"83.7815992,83.7815982","21.3711622,21.3711618",3
116350|2020|PP|26/physicalprogressassetstageuploadwebservice:0,116350|2020|PP|26,0,44434533,9159478,83.7816189,21.3711858,1,83.7816189,21.3711858,3
116350|2020|PP|27/physicalprogressassetstageuploadwebservice:0,116350|2020|PP|27,0,50386093,12674462,83.7815901,21.3711739,1,83.7815901,21.3711739,3
116350|2020|PP|28/physicalprogressassetstageuploadwebservice:0,116350|2020|PP|28,0,50385618,12674424,83.78154,21.3711029,1,83.78154,21.3711029,3
116350|2020|PP|29/physicalprogressassetstageuploadwebservice:0,116350|2020|PP|29,0,50378563,16661974,83.78146999999998,21.371296666666662,2,"83.78146999999998,83.78152833333334","21.371296666666662,21.371299999999998",3
116350|2021|PP|0/physicalprogressassetstageuploadwebservice:0,116350|2021|PP|0,0,48947511,26257179,83.7811982,21.371418,1,83.7811982,21.371418,3
116350|2021|PP|0/physicalprogressassetstageuploadwebservice:1,116350|2021|PP|0,1,48947511,26256907,83.7812168,21.3715599,1,83.7812168,21.3715599,3
116350|2021|PP|0/physicalprogressassetstageuploadwebservice:2,116350|2021|PP|0,2,48947511,26257400,83.7813102,21.3713756,1,83.7813102,21.3713756,3
116350|2021|PP|1/physicalprogressassetstageuploadwebservice:0,116350|2021|PP|1,0,48945030,26257616,83.7814228,21.3714385,1,83.7814228,21.3714385,3
116350|2021|PP|1/physicalprogressassetstageuploadwebservice:1,116350|2021|PP|1,1,48945030,26257728,83.7813075,21.3713039,1,83.7813075,21.3713039,3
116350|2021|PP|1/physicalprogressassetstageuploadwebservice:2,116350|2021|PP|1,2,48945030,26257914,83.781312,21.3712936,1,83.781312,21.3712936,3
116350|2021|PP|2/physicalprogressassetstageuploadwebservice:0,116350|2021|PP|2,0,48945521,5918610,83.78174866,21.37111851,2,"83.78174866,83.78172683","21.37111851,21.37112698",3
116350|2021|PP|3/physicalprogressassetstageuploadwebservice:0,116350|2021|PP|3,0,48945604,5918564,83.78169221,21.37116265,2,"83.78169221,83.78169213","21.37116265,21.37116161",3
116350|2021|PP|5/physicalprogressassetstageuploadwebservice:0,116350|2021|PP|5,0,48702608,6566297,83.7816148,21.3711687,2,"83.7816148,83.7816171","21.3711687,21.37117",3
