plan_code,gp_lgd_code,fiscal_year,plan_type,approval_date,plan_code_status
3144742,119598,2020-2021,Main,2020-08-21,
3316211,119598,2021-2022,Main,2020-10-02,
4055476,119598,2022-2023,Main,2021-10-02,
4335301,119598,2022-2023,Supplementary,2021-10-02,
4762574,119598,2022-2023,Supplementary,2023-06-17,
4518012,119598,2023-2024,Main,2022-10-02,
5171394,119598,2024-2025,Main,2024-04-17,
5578043,119598,2025-2026,Main,2025-03-27,
5900776,119598,2025-2026,Supplementary,2025-12-08,
3143688,116397,2020-2021,Main,2020-08-20,
3297192,116397,2020-2021,Supplementary,2021-02-06,
3375443,116397,2021-2022,Main,2021-02-10,
3796045,116397,2021-2022,Supplementary,2021-11-25,
4109761,116397,2022-2023,Main,2022-03-12,
4325194,116397,2022-2023,Supplementary,2022-10-01,
4660164,116397,2023-2024,Main,2023-04-24,
6037652,116397,2023-2024,Supplementary,2026-05-04,
5148092,116397,2024-2025,Main,2023-10-02,
6019866,116397,2024-2025,Supplementary,2026-03-24,
5528892,116397,2025-2026,Main,2025-01-26,
5989406,116397,2025-2026,Supplementary,2026-04-24,
3144727,119599,2020-2021,Main,2020-08-21,
3324142,119599,2021-2022,Main,2020-10-02,
4061175,119599,2022-2023,Main,2021-10-02,
4668782,119599,2023-2024,Main,2022-10-02,
5223056,119599,2024-2025,Main,2024-04-12,
6012003,119599,2024-2025,Supplementary,2026-06-01,
5610859,119599,2025-2026,Main,2025-03-14,
5957758,119599,2025-2026,Supplementary,2026-03-27,
5988615,119599,2025-2026,Supplementary,2026-05-12,
6011969,119599,2025-2026,Supplementary,2026-06-10,
3587984,116400,2020-2021,Main,2021-06-14,
3622117,116400,2021-2022,Main,2021-07-01,
4397793,116400,2021-2022,Supplementary,2022-12-30,
4106758,116400,2022-2023,Main,2021-10-02,
4364391,116400,2022-2023,Supplementary,2022-07-20,
4646611,116400,2023-2024,Main,2023-01-30,
5147944,116400,2024-2025,Main,2024-04-10,
5578634,116400,2025-2026,Main,2024-12-16,
5925803,116400,2025-2026,Supplementary,2026-01-26,
3147705,116438,2020-2021,Main,2020-08-26,
3440467,116438,2020-2021,Supplementary,2020-11-04,
4180730,116438,2020-2021,Supplementary,2022-01-01,
3362784,116438,2021-2022,Main,2021-02-01,
3729042,116438,2021-2022,Supplementary,2022-01-26,
4323360,116438,2021-2022,Supplementary,2022-06-01,
4401864,116438,2021-2022,Supplementary,2022-10-26,
4435601,116438,2021-2022,Supplementary,2023-01-26,
4119348,116438,2022-2023,Main,2022-04-14,
4421554,116438,2022-2023,Supplementary,2022-08-15,
4845426,116438,2022-2023,Supplementary,2023-01-25,
5289167,116438,2022-2023,Supplementary,2024-02-01,
4604706,116438,2023-2024,Main,2023-04-06,
5137304,116438,2024-2025,Main,2024-01-26,
5422108,116438,2024-2025,Supplementary,2024-04-15,
5792710,116438,2024-2025,Supplementary,2025-07-01,
5408664,116438,2025-2026,Main,2024-10-02,
3128817,117951,2020-2021,Main,2020-09-01,
3620284,117951,2020-2021,Supplementary,2021-06-01,
4368419,117951,2020-2021,Supplementary,2022-11-01,
3334184,117951,2021-2022,Main,2021-11-01,
4368468,117951,2021-2022,Supplementary,2022-11-01,
4029768,117951,2022-2023,Main,2022-10-01,
4563076,117951,2023-2024,Main,2023-05-28,
5054379,117951,2024-2025,Main,2024-03-13,
5510248,117951,2025-2026,Main,2025-03-19,
5905977,117951,2025-2026,Supplementary,2025-12-17,
2835023,119717,2020-2021,Main,2020-07-15,
3328961,119717,2021-2022,Main,2021-06-28,
4019808,119717,2022-2023,Main,2022-08-24,
4643951,119717,2023-2024,Main,2023-06-21,
5102057,119717,2024-2025,Main,2024-03-25,
5996097,119717,2024-2025,Supplementary,2026-01-01,
5552049,119717,2025-2026,Main,2025-05-02,
2870749,117835,2020-2021,Main,2020-07-04,
4918080,117835,2020-2021,Supplementary,2022-07-08,
3330954,117835,2021-2022,Main,2020-12-30,
4228666,117835,2021-2022,Supplementary,2021-09-17,
4022220,117835,2022-2023,Main,2022-06-03,
4581403,117835,2023-2024,Main,2023-06-12,
6023298,117835,2023-2024,Supplementary,2025-01-11,
5062104,117835,2024-2025,Main,2024-04-01,
5605742,117835,2025-2026,Main,2025-03-20,
6023288,117835,2025-2026,Supplementary,2025-11-14,
3139285,116936,2020-2021,Main,2020-03-05,
3787410,116936,2020-2021,Supplementary,2021-12-01,
4143018,116936,2020-2021,Supplementary,2022-03-29,
4395840,116936,2020-2021,Supplementary,2021-12-31,
4832894,116936,2020-2021,Supplementary,2023-04-01,
3373096,116936,2021-2022,Main,2021-01-26,
4142981,116936,2021-2022,Supplementary,2022-03-29,
4819469,116936,2021-2022,Supplementary,2022-04-01,
4123345,116936,2022-2023,Main,2022-08-25,
4398473,116936,2022-2023,Supplementary,2022-10-02,
4650279,116936,2023-2024,Main,2023-04-04,
5140750,116936,2024-2025,Main,2024-01-26,
5546036,116936,2025-2026,Main,2025-01-26,
3138083,118939,2020-2021,Main,2020-02-21,
3376232,118939,2021-2022,Main,2020-10-02,
4340749,118939,2021-2022,Supplementary,2021-10-02,
4115654,118939,2022-2023,Main,2021-04-20,
4294792,118939,2022-2023,Supplementary,2022-08-01,
4588239,118939,2023-2024,Main,2023-04-12,
5130924,118939,2024-2025,Main,2024-08-15,
5541640,118939,2025-2026,Main,2024-12-27,
2787462,117153,2020-2021,Main,2020-01-26,
4378223,117153,2020-2021,Supplementary,2022-10-28,
3337250,117153,2021-2022,Main,2021-01-26,
4378194,117153,2021-2022,Supplementary,2022-10-28,
4378696,117153,2021-2022,Supplementary,2022-10-28,
4122119,117153,2022-2023,Main,2021-10-02,
4661414,117153,2023-2024,Main,2023-04-20,
5866613,117153,2023-2024,Supplementary,2025-11-12,
5866736,117153,2023-2024,Supplementary,2025-11-25,
5955881,117153,2023-2024,Supplementary,2026-01-26,
5144686,117153,2024-2025,Main,2024-10-02,
5974329,117153,2024-2025,Supplementary,2026-01-26,
5592716,117153,2025-2026,Main,2025-01-24,
5971783,117153,2025-2026,Supplementary,2026-01-26,
3130108,121663,2020-2021,Main,2019-10-02,
3688645,121663,2020-2021,Supplementary,2020-10-02,
3861782,121663,2020-2021,Supplementary,2021-01-26,
3326135,121663,2021-2022,Main,2020-10-02,
3829307,121663,2021-2022,Supplementary,2020-10-02,
4113763,121663,2022-2023,Main,2021-10-02,
4593434,121663,2023-2024,Main,2023-01-26,
5132451,121663,2024-2025,Main,2023-10-02,
5541906,121663,2025-2026,Main,2025-01-26,
3145893,116350,2020-2021,Main,2020-01-26,
3473576,116350,2020-2021,Supplementary,2021-02-10,
3379668,116350,2021-2022,Main,2021-01-26,
4107503,116350,2022-2023,Main,2022-03-09,
4336856,116350,2022-2023,Supplementary,2022-08-15,
4659995,116350,2023-2024,Main,2023-06-01,
5889465,116350,2023-2024,Supplementary,2025-10-24,
5986521,116350,2023-2024,Supplementary,2025-10-24,
5995754,116350,2023-2024,Supplementary,2025-10-24,
5152422,116350,2024-2025,Main,2023-12-20,
5986323,116350,2024-2025,Supplementary,2025-10-24,
5539627,116350,2025-2026,Main,2025-03-21,
5889446,116350,2025-2026,Supplementary,2025-10-24,
5964892,116350,2025-2026,Supplementary,2025-10-24,
3139756,119605,2020-2021,Main,2020-08-15,
3355617,119605,2021-2022,Main,2021-12-01,
4294058,119605,2021-2022,Supplementary,2022-09-16,
4072405,119605,2022-2023,Main,2021-10-02,
4941111,119605,2022-2023,Supplementary,2023-11-01,
4668079,119605,2023-2024,Main,2023-06-20,
5171464,119605,2024-2025,Main,2024-03-31,
5577940,119605,2025-2026,Main,2025-03-26,
3129526,119936,2020-2021,Main,2020-04-01,
3324899,119936,2021-2022,Main,2021-01-30,
3953782,119936,2022-2023,Main,2022-04-01,
4563811,119936,2023-2024,Main,2023-04-01,
5070870,119936,2024-2025,Main,2024-03-16,
5908656,119936,2024-2025,Supplementary,2025-09-02,
5440627,119936,2025-2026,Main,2025-05-09,
3148452,121162,2020-2021,Main,2021-03-25,
4164487,121162,2020-2021,Supplementary,2022-02-11,
3387689,121162,2021-2022,Main,2021-01-26,
3765686,121162,2021-2022,Supplementary,2021-10-21,
4106086,121162,2021-2022,Supplementary,2022-02-02,
4108614,121162,2021-2022,Supplementary,2022-03-04,
4164003,121162,2021-2022,Supplementary,2022-06-01,
4072846,121162,2022-2023,Main,2021-10-02,
4348297,121162,2022-2023,Supplementary,2022-11-01,
4658912,121162,2023-2024,Main,2023-06-01,
5138389,121162,2024-2025,Main,2024-03-30,
5620968,121162,2025-2026,Main,2025-05-20,
3133127,121526,2020-2021,Main,2020-08-10,
3329991,121526,2021-2022,Main,2020-10-02,
4726764,121526,2021-2022,Supplementary,2023-06-03,
