row_id,gp_lgd_code,gp_name,plan_year,doc_type,source_file,activity_code,tec_approval_required,tec_approval_cost,tec_approval_authority,tec_approval_order_no,tec_approval_order_date
116350|2020|TA|0,116350,Hirlipali,2020,TA,2020_TA.json,44434659,N,,NR,NR,2021-03-27
116350|2020|TA|1,116350,Hirlipali,2020,TA,2020_TA.json,44434332,N,,NR,NR,2021-03-27
116350|2020|TA|2,116350,Hirlipali,2020,TA,2020_TA.json,44434533,N,,NR,NR,2021-03-27
116350|2020|TA|3,116350,Hirlipali,2020,TA,2020_TA.json,50380045,R,33002.0,BDO,2,2021-02-25
116350|2020|TA|4,116350,Hirlipali,2020,TA,2020_TA.json,50379473,R,54492.0,BDO,4,2021-02-25
116350|2020|TA|5,116350,Hirlipali,2020,TA,2020_TA.json,50380394,R,54492.0,BDO,1,2021-02-25
116350|2020|TA|6,116350,Hirlipali,2020,TA,2020_TA.json,50386819,R,178274.0,BDO,1,2021-04-12
116350|2020|TA|7,116350,Hirlipali,2020,TA,2020_TA.json,44434249,R,100000.0,BDO,2,2020-11-06
116350|2020|TA|8,116350,Hirlipali,2020,TA,2020_TA.json,44434352,R,95772.0,BDO,5,2021-02-10
116350|2020|TA|9,116350,Hirlipali,2020,TA,2020_TA.json,44434893,R,43120.0,BDO,6,2021-02-10
116350|2020|TA|10,116350,Hirlipali,2020,TA,2020_TA.json,44434698,R,117772.0,bdo,7,2021-02-10
116350|2020|TA|11,116350,Hirlipali,2020,TA,2020_TA.json,44434871,R,100000.0,BDO,1,2021-04-01
116350|2020|TA|12,116350,Hirlipali,2020,TA,2020_TA.json,50380631,R,106090.0,BDO,4,2021-02-26
116350|2020|TA|13,116350,Hirlipali,2020,TA,2020_TA.json,50385180,R,162137.0,BDO,6,2021-02-26
116350|2020|TA|14,116350,Hirlipali,2020,TA,2020_TA.json,50380926,R,91381.0,BDO,1,2021-02-26
116350|2020|TA|15,116350,Hirlipali,2020,TA,2020_TA.json,50379756,R,160543.0,BDO,2,2021-02-26
116350|2020|TA|16,116350,Hirlipali,2020,TA,2020_TA.json,44434227,R,150000.0,BDO,10,2020-11-06
116350|2020|TA|17,116350,Hirlipali,2020,TA,2020_TA.json,44434288,R,300000.0,BDO,11,2020-11-06
116350|2020|TA|18,116350,Hirlipali,2020,TA,2020_TA.json,50386577,R,30000.0,BDO,1,2021-12-22
116350|2020|TA|19,116350,Hirlipali,2020,TA,2020_TA.json,50378946,R,150000.0,BDO,1,2021-04-12
116350|2020|TA|20,116350,Hirlipali,2020,TA,2020_TA.json,50386093,R,12000.0,BDO,16,2021-12-22
116350|2020|TA|21,116350,Hirlipali,2020,TA,2020_TA.json,50385618,R,12000.0,BDO,16,2021-12-23
116350|2020|TA|22,116350,Hirlipali,2020,TA,2020_TA.json,50378563,R,200000.0,BDO,1,2024-06-12
116350|2021|TA|0,116350,Hirlipali,2021,TA,2021_TA.json,48947039,N,,NR,NR,2021-12-01
116350|2021|TA|1,116350,Hirlipali,2021,TA,2021_TA.json,48702295,R,200000.0,BDO,6,2021-12-03
116350|2021|TA|2,116350,Hirlipali,2021,TA,2021_TA.json,48945521,R,335835.0,BDO,4,2021-12-03
116350|2021|TA|3,116350,Hirlipali,2021,TA,2021_TA.json,48945604,R,330000.0,BDO,5,2021-12-03
116350|2021|TA|4,116350,Hirlipali,2021,TA,2021_TA.json,48946946,R,48000.0,BDO,1,2021-04-01
116350|2021|TA|5,116350,Hirlipali,2021,TA,2021_TA.json,48702608,R,250000.0,BDO,7,2021-12-03
116350|2021|TA|6,116350,Hirlipali,2021,TA,2021_TA.json,48945928,N,,NR,NR,2022-04-18
116350|2021|TA|7,116350,Hirlipali,2021,TA,2021_TA.json,48947102,N,,NR,NR,2022-07-12
116350|2021|TA|8,116350,Hirlipali,2021,TA,2021_TA.json,48945227,R,482917.0,BDO,1,2021-12-03
116350|2021|TA|9,116350,Hirlipali,2021,TA,2021_TA.json,48945351,R,150000.0,BDO,1,2021-12-03
116350|2021|TA|10,116350,Hirlipali,2021,TA,2021_TA.json,48945423,R,150000.0,BDO,2,2021-12-18
116350|2021|TA|11,116350,Hirlipali,2021,TA,2021_TA.json,48947241,R,100000.0,BDO,1,2022-08-05
116350|2021|TA|12,116350,Hirlipali,2021,TA,2021_TA.json,48947511,R,117083.0,BDO,1,2024-12-03
116350|2021|TA|13,116350,Hirlipali,2021,TA,2021_TA.json,48945030,R,32918.0,BDO,1,2024-12-03
116350|2022|TA|0,116350,Hirlipali,2022,TA,2022_TA.json,61688546,R,48000.0,BDO,1,2022-07-22
116350|2022|TA|1,116350,Hirlipali,2022,TA,2022_TA.json,65647242,R,200000.0,BDO,1,2022-11-16
116350|2022|TA|2,116350,Hirlipali,2022,TA,2022_TA.json,61656325,R,100000.0,BDO,1,2022-11-08
116350|2022|TA|3,116350,Hirlipali,2022,TA,2022_TA.json,65647681,R,114594.0,BDO,2,2022-11-08
116350|2022|TA|4,116350,Hirlipali,2022,TA,2022_TA.json,65640607,R,200000.0,BDO,1,2023-02-14
116350|2022|TA|5,116350,Hirlipali,2022,TA,2022_TA.json,65647752,R,5150.0,BDO,1,2023-02-14
116350|2022|TA|6,116350,Hirlipali,2022,TA,2022_TA.json,65640848,R,100000.0,BDO,2,2023-05-02
116350|2022|TA|7,116350,Hirlipali,2022,TA,2022_TA.json,65640647,R,200000.0,BDO,18,2022-11-03
116350|2022|TA|8,116350,Hirlipali,2022,TA,2022_TA.json,65647203,R,128744.0,BDO,1,2023-03-03
116350|2022|TA|9,116350,Hirlipali,2022,TA,2022_TA.json,65647344,R,50000.0,BDO,5,2023-02-23
116350|2022|TA|10,116350,Hirlipali,2022,TA,2022_TA.json,65647221,R,80000.0,BDO,2,2023-06-19
116350|2022|TA|11,116350,Hirlipali,2022,TA,2022_TA.json,65640793,R,400000.0,BDO,5,2023-06-06
116350|2022|TA|12,116350,Hirlipali,2022,TA,2022_TA.json,65640676,R,118120.0,BDO,2,2022-10-04
116350|2022|TA|13,116350,Hirlipali,2022,TA,2022_TA.json,65640722,R,125000.0,BDO,1,2025-04-01
116350|2022|TA|14,116350,Hirlipali,2022,TA,2022_TA.json,65647385,R,107000.0,BDO,1,2025-04-01
116350|2023|TA|0,116350,Hirlipali,2023,TA,2023_TA.json,82758183,R,280000.0,BDO,1,2023-05-01
116350|2023|TA|1,116350,Hirlipali,2023,TA,2023_TA.json,81955225,R,404432.0,BDO,1,2023-11-04
