voucher_pk,gp_lgd_code,fiscal_year,voucher_no,voucher_id,direction,type,date,month,amount
1,119598,2025-2026,XVFC/2025-26/R/1,27616,receipt,Refund of Excess Payment,2025-07-18,July,3000.0
2,119598,2025-2026,XVFC/2025-26/R/2,59670,receipt,Reverse Receipt -PFMS,2025-08-31,August,488095.0
3,119598,2025-2026,XVFC/2025-26/R/3,93058,receipt,Reverse Receipt -PFMS,2025-11-30,November,488094.0
4,119598,2025-2026,XVFC/2025-26/R/4,93066,receipt,Reverse Receipt -PFMS,2025-11-30,November,732140.0
5,119598,2025-2026,5THSFC/2025-26/R/1,119326,receipt,Direct Receipts,2025-12-17,December,15008.0
6,119598,2025-2026,5THSFC/2025-26/R/2,119335,receipt,Direct Receipts,2025-12-17,December,64020.0
7,119598,2025-2026,5THSFC/2025-26/R/3,119339,receipt,Direct Receipts,2025-12-17,December,11235.0
8,119598,2025-2026,5THSFC/2025-26/R/4,119343,receipt,Direct Receipts,2025-12-17,December,493285.0
9,119598,2025-2026,5THSFC/2025-26/R/5,119349,receipt,Direct Receipts,2025-12-17,December,64020.0
10,119598,2025-2026,5THSFC/2025-26/R/6,119352,receipt,Direct Receipts,2025-12-17,December,5000.0
11,119598,2025-2026,5THSFC/2025-26/R/7,119358,receipt,Direct Receipts,2025-12-17,December,11341.0
12,119598,2025-2026,XVFC/2025-26/R/5,119559,receipt,Direct Receipts,2025-12-31,December,73669.0
13,119598,2025-2026,5THSFC/2025-26/R/10,148602,receipt,Direct Receipts,2026-03-07,March,44040.0
14,119598,2025-2026,5THSFC/2025-26/R/8,148593,receipt,Direct Receipts,2026-03-07,March,493285.0
15,119598,2025-2026,5THSFC/2025-26/R/9,148598,receipt,Direct Receipts,2026-03-07,March,84000.0
16,119598,2025-2026,XVFC/2025-26/R/6,167035,receipt,Reverse Receipt -PFMS,2026-03-21,March,732140.0
17,119598,2025-2026,5THSFC/2025-26/R/11,176810,receipt,Direct Receipts,2026-03-30,March,958040.0
18,119598,2025-2026,HY/2025-26/R/1,275974,receipt,Direct Receipts,2026-03-30,March,642.0
19,119598,2025-2026,NOAPS/2025-26/R/1,275971,receipt,Direct Receipts,2026-03-30,March,99525.0
20,119598,2025-2026,OWN/2025-26/R/1,276001,receipt,Direct Receipts,2026-03-30,March,335772.0
21,119598,2025-2026,5THSFC/2025-26/R/12,276151,receipt,Direct Receipts,2026-03-31,March,9806.0
22,119598,2025-2026,XVFC/2025-26/R/7,276163,receipt,Direct Receipts,2026-03-31,March,77201.0
23,119598,2025-2026,5THSFC/2025-26/P/1,55606,payment,Expenditures,2025-05-28,May,312099.0
24,119598,2025-2026,5THSFC/2025-26/P/2,55610,payment,Expenditures,2025-05-28,May,3244.0
25,119598,2025-2026,5THSFC/2025-26/P/3,55612,payment,Expenditures,2025-05-28,May,3225.0
26,119598,2025-2026,XVFC/2025-26/P/1,55637,payment,Expenditures,2025-05-28,May,160000.0
27,119598,2025-2026,XVFC/2025-26/P/2,55641,payment,Expenditures,2025-05-28,May,7533.0
28,119598,2025-2026,XVFC/2025-26/P/3,55643,payment,Expenditures,2025-05-28,May,2000.0
29,119598,2025-2026,5THSFC/2025-26/P/4,55653,payment,Expenditures,2025-05-29,May,21723.0
30,119598,2025-2026,5THSFC/2025-26/P/5,55654,payment,Expenditures,2025-05-29,May,15126.0
31,119598,2025-2026,XVFC/2025-26/P/4,55644,payment,Expenditures,2025-05-29,May,170000.0
32,119598,2025-2026,XVFC/2025-26/P/5,55645,payment,Expenditures,2025-05-29,May,2246.0
33,119598,2025-2026,XVFC/2025-26/P/6,55646,payment,Expenditures,2025-05-29,May,2000.0
34,119598,2025-2026,XVFC/2025-26/P/7,55647,payment,Expenditures,2025-05-29,May,372319.0
35,119598,2025-2026,XVFC/2025-26/P/8,55649,payment,Expenditures,2025-05-29,May,17561.0
36,119598,2025-2026,XVFC/2025-26/P/9,55651,payment,Expenditures,2025-05-29,May,4000.0
37,119598,2025-2026,XVFC/2025-26/P/10,63950,payment,Expenditures,2025-06-02,June,23277.0
38,119598,2025-2026,XVFC/2025-26/P/11,63979,payment,Expenditures,2025-06-02,June,27031.0
39,119598,2025-2026,XVFC/2025-26/P/12,64001,payment,Expenditures,2025-06-02,June,26000.0
40,119598,2025-2026,XVFC/2025-26/P/13,140175,payment,Expenditures,2025-07-15,July,3000.0
41,119598,2025-2026,XVFC/2025-26/P/14,140189,payment,Expenditures,2025-07-15,July,2.51
42,119598,2025-2026,XVFC/2025-26/P/15,140195,payment,Expenditures,2025-07-15,July,35.0
43,119598,2025-2026,XVFC/2025-26/P/16,140208,payment,Expenditures,2025-07-15,July,3000.0
44,119598,2025-2026,XVFC/2025-26/P/17,140249,payment,Expenditures,2025-07-15,July,2.51
45,119598,2025-2026,XVFC/2025-26/P/18,140254,payment,Expenditures,2025-07-15,July,35.0
46,119598,2025-2026,XVFC/2025-26/P/19,140261,payment,Expenditures,2025-07-15,July,3000.0
47,119598,2025-2026,XVFC/2025-26/P/20,140265,payment,Expenditures,2025-07-15,July,2.51
48,119598,2025-2026,XVFC/2025-26/P/21,140267,payment,Expenditures,2025-07-15,July,35.0
49,119598,2025-2026,XVFC/2025-26/P/22,140271,payment,Expenditures,2025-07-15,July,3000.0
50,119598,2025-2026,XVFC/2025-26/P/23,140274,payment,Expenditures,2025-07-15,July,2.51
51,119598,2025-2026,XVFC/2025-26/P/24,140277,payment,Expenditures,2025-07-15,July,35.0
52,119598,2025-2026,XVFC/2025-26/P/25,140282,payment,Expenditures,2025-07-15,July,3000.0
