dataset,column,demo_group,data_category,assigned_role,pin,unit,used_in_views,dtype,fill_pct,n_distinct,numeric_pct,note,field_explanation
agriculture,aadharno,Identity,Farmer Identity,key_aadhaar,aadhaar,,view1_scheme_benefits; view7_input_to_market,str,100.0,652,100.0,,Aadhaar number of the beneficiary farmer (12-digit unique ID)
agriculture,cr_dist_code,Geography,Geographic,dim,,,,int64,100.0,13,100.0,,District code in eCrop registration system
agriculture,cr_season,Crop/Activity,Crop/Agriculture,excluded_duplicate,,,,str,100.0,2,0.0,"near-duplicate of `season` (identical values, 1,114/1,114); kept `season` per handoff","Crop season in eCrop (K=Kharif, R=Rabi, S=Summer)"
agriculture,cr_vcode,Geography,Geographic,dim,,,,int64,100.0,40,100.0,,Village code in eCrop registration system
agriculture,cr_year,Crop/Activity,Crop/Agriculture,dim,,,,int64,100.0,4,100.0,,Crop year in eCrop registration system
agriculture,cropname,Crop/Activity,Crop/Agriculture,dim,,,,str,100.0,10,0.0,,Crop name (Telugu/local language)
agriculture,cropnameeng,Crop/Activity,Crop/Agriculture,dim,commodity,,view3_agri_crop; view7_input_to_market,str,100.0,10,0.0,,Crop name in English
agriculture,cropnature,Crop/Activity,Crop/Agriculture,dim,,,,str,100.0,2,0.0,,Nature of crop (Food grain/Commercial/Horticulture/Fodder)
agriculture,cropnumber,Crop/Activity,Crop/Agriculture,dim,,,,int64,100.0,4,100.0,,Crop number -- sequential crop entry for multi-cropping farmers
agriculture,cropratio,Crop/Activity,Crop/Agriculture,dim,,,,float64,100.0,81,100.0,,Crop ratio -- percentage of land under this crop (for mixed cropping)
agriculture,cropstatus,Crop/Activity,Crop/Agriculture,dim,status,,view1_scheme_benefits; view3_agri_crop,str,100.0,4,0.0,,Crop status (Registered/Verified/Harvested/Damaged)
agriculture,cropyear,Crop/Activity,Crop/Agriculture,dim,,,view1_scheme_benefits; view3_agri_crop,int64,100.0,4,100.0,Crop/Activity dim used as the temporal dimension of view1 and view3,"Crop year (e.g., 2024)"
agriculture,cultivator_type,Land,Land Ownership,dim,,,view3_agri_crop,str,100.0,2,0.0,Land column holding a 2-value categorical (0.0% numeric) - re-roled to dim,Cultivator type (Owner/Tenant/Pattadar/Lessee)
agriculture,dcode,Geography,Geographic,dim,district,,view1_scheme_benefits; view3_agri_crop; view7_input_to_market,int64,100.0,13,100.0,,"District code (numeric, AP standard 1-26)"
agriculture,farmerfathername,Identity,Farmer Identity,excluded_pii,,,,str,100.0,36,0.0,Identity: personal identifier,Farmer's father/husband name
agriculture,farmername,Identity,Farmer Identity,excluded_pii,,,,str,100.0,374,0.0,Identity: personal identifier,Farmer full name
agriculture,irrmethodcode,Geography,Land/Irrigation,dim,,,,int64,100.0,5,100.0,,Irrigation method code (Drip/Sprinkler/Flood/Canal/Borewell)
agriculture,khatano,Land,Land/Irrigation,measure,,,,str,100.0,652,100.0,,Khata number -- revenue land record reference (Pahani/1B record)
agriculture,mcode,Geography,Geographic,dim,,,,int64,100.0,26,100.0,,Mandal code (numeric)
agriculture,mobileno,Identity,Farmer Identity,excluded_pii,,,,str,100.0,652,100.0,Identity: personal identifier,Farmer registered mobile number
agriculture,nonsubsidyamount,Benefit/Amount,Subsidy/Input Distribution,measure,,,view3_agri_crop,float64,100.0,1113,100.0,,Non-subsidy amount -- farmer's own contribution/cost share
agriculture,pattadarfname,Identity,Land Ownership,excluded_pii,,,,str,100.0,36,0.0,Identity: personal identifier,Pattadar (land title holder) father name
agriculture,pattadarname,Identity,Land Ownership,excluded_pii,,,,str,100.0,374,0.0,Identity: personal identifier,Pattadar name -- land title holder as per revenue records
